,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,Low,6,3,13,-4,,1,,,
1,,5LL,None,700,,,All,9,6,14,-4,,2,,,
2,,5LLL,None,"600, 500",U3+,,Throw,7,3,23,,,"3, 4",,,
3,,5M,None,550×2,,,All,10,4(8)4,16,-4,,2,,,
4,,5H,None,850 / 1000,U1,,All,14,5,20,-9,,4,,,
5,,5S,None,300×1~5,,,All,13,,Total 37,-4,,2,,,
6,,2L,None,400,,,Low,7,3,13,-4,,1,,,
7,,2M,None,550×2,,,Low,8,6(14)4,16,-4,,2,,,
8,,2H,None,850 / 1000,U1+,,All,13,5,18+10L,-17,4-17 Head,4,,,
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,,,
10,,6H,None,850,,,High,27,3,18,-5,,3,,,
11,,3H,None,750,,,Low,18,10,21,-8,,3,,,
12,,j.L,None,400,,,High,6,3,11,,,1,,,
13,,j.M,None,600×2,,,High,8,2(6)4,12,,,2,,,
14,,j.H,None,850 / 1000,D1+ [D3+],,High,11,6,18,,,3 / 4,,,
15,,j.S,None,300×1~4,,,All,12,,Total 41+3L,,,2,,,
16,,j.2H,None,850,U1,,All,13,5,28,,,3,,,
0,,236L,L Savory Slicer,"20×6, 912",,100%+1 (Once),All,13,"2×6,5",12+4L,-8,4-29 Ki Blasts,"2×6, 3","15×6, 12",,
1,,236M,M Savory Slicer,"20×6, 1030",U1+,100%+1 (Once),All,17,"2×6,5",12+4L,-8,4-33 Ki Blasts,"2×6, 3","15×6, 12",,
2,,236H,H Savory Slicer,"20×6, 1581",U1+,90%+1 (Once),All,13,"2×6,5",12+4L,-8,1-29 Ki Blasts,"2×6, 3","15×6, 12",,
3,,j.236L,Air L Savory Slicer,"20×6, 912",,100%+1 (Once),All,13,"2×6,5",16,,4-29 Ki Blasts,"2×6, 3","15×6, 12",,
4,,j.236M,Air M Savory Slicer,"20×6, 1030",U1+,100%+1 (Once),All,17,"2×6,5",16,,4-33 Ki Blasts,"2×6, 3","15×6, 12",,
5,,j.236H,Air H Savory Slicer,"20×6, 1581",U1+,90%+1 (Once),All,13,"2×6,5",16,,1-29 Ki Blasts,"2×6, 3","15×6, 12",,
6,,214L,L Vertical Savory Slicer,"20×4, 847",,100%+1 (Once),All,9,2×4(5)6,12+6L,-4,"4-11 Head, 4-27 Ki Blasts","2×4, 3",,,
7,,214M,M Vertical Savory Slicer,"20×7, 892",D1,100%+1 (Once),All,14,2×7(5)6,16+6L,-4,"4-16 Head, 4-38 Ki Blasts","2×7, 3",,,
8,,214H,H Vertical Savory Slicer,"20×10, 1019",D1,90%+1 (Once),All,9,2×10(5)6,17,-4,"1-11 Head, 1-39 Ki Blasts","2×10, 3",,,
9,,j.214L,Air L Vertical Savory Slicer,"20×4, 847",,100%+1 (Once),All,9,2×4(5)6,16,,"4-11 Head, 4-27 Ki Blasts","2×4, 3",,,
10,,j.214M,Air M Vertical Savory Slicer,"20×7, 892",D1,100%+1 (Once),All,14,2×7(5)6,17,,"4-16 Head, 4-38 Ki Blasts","2×7, 3",,,
11,,j.214H,Air H Vertical Savory Slicer,"20×10, 1019",D1,90%+1 (Once),All,9,2×10(5)6,17,,"1-11 Head, 1-39 Ki Blasts","2×10, 3",,,
12,,22L,L Mignardise Heel,600,,90%+2,Low,11,5,16,-5,,3,,,
13,,22M,M Mignardise Heel,700,U1+,90%+2,Low,18,5,16,-5,,3,,,
14,,22H,H Mignardise Heel,800,U1+,90%+2,Low,11,5,16,-5,,3,,,
15,,236S,Photon Swipe,262×5,,,All,17,25,23,-6,,3,,,
16,,j.236S,Air Photon Swipe,262×5,,,All,17,25,30,,,3,,,
17,,214S,Connoisseur Cut,1000,D2,,Throw,24~30,4,24,,,4,,,
18,,j.214S,Air Connoisseur Cut,1000,D2,,Throw,13,14,15,,,4,,,
19,,22S,Barrier Sphere,,,,,,,Total 48,,4-39 [4-48] Guard,,,,
20,,j.22S,Air Barrier Sphere,,,,,,,Total 47,,4-38 [4-47] Guard,,,,
0,,Assist A,Savory Slicer,"30×6, 852",,,All,20,"1,2x5,5",45,+40,4-35 Ki Blasts,"2×6, 3",,,
1,,Assist B,Barrier Sphere,,,,,,,Total 85,,"9-11 All, 12-46 Guard, 47 Invul",,,,
2,,Assist C,Photon Swipe,"200×5, 400",,,All,34 [20],,,+30,,3,,,
0,,236L+M,Total Detonation Ball,2121,UDV,,All,9+4,,Total 69+7L,-34,9-21 All,4,,,
1,,j.236L+M,Air Total Detonation Ball,2121,UDV,,All,9+4,,Total 68,-26,9-21 All,4,,,
2,,j.236H+S,Total Evasion,2121,UDV,,All,19+4 [9+1],,Total 78,-26,19-31 All,4,,,
3,,236H+S,Photon Pulse,2021,,80%+2,Throw,21,7,17,,20-27 All,4,,,
4,,214L+M,Appetizing Rush,4321,UDV,,All,9+12 [9+0],6,Until L+10,-16,1-26 All,3,,,
5,,j.214L+M,Air Appetizing Rush,4321,UDV,,All,9+12 [9+0],6,Until L+10,-16,1-26 All,3,,,
6,,214H+S,Excellent Full Course,4121,UDV,,All,11+3 [11+0],12,31+10L,-26,1-30 All,4,,,
7,,j.214H+S,Air Excellent Full Course,4121,UDV,,All,11+3 [11+0],12,Until L+10,,1-30 All,4,,,
