,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400×2,,,"Low, All",6,3(5)3,11,-2,,,,,
1,,5LL Level 0,None,100×4,,,All,9,1{(2)1}×3,17,-2,,,,,
2,,5LLL Level 0,None,1000,U3+,,All,11,2,19,-5,,,,,
3,,5LL Level 1+,None,450,,,All,7,6,20,-10,,,,,
4,,5LLL Level 1+,None,450,,,All,6,2,20,-6,,,,,
5,,5LLLL Level 1+,None,450,,,All,7,3,13,0,,,,,
6,,5LLLLL Level 1+,None,1000,U3+,,All,11,2,19,-5,,,,,
7,,5M,None,700,,,All,9,4,20,-8,,,,,
8,,5H,None,850,U1,,All,11,6,18,-8,,,,,
9,,5S,None,800,,,All,17,3,26,-2,,,,,
10,,2L,None,500,,,All,7,3,13,0,,,,,
11,,2M,None,700,,,Low,12,8,18,-10,,,,,
12,,2H,None,850,U1+,,All,14,3,29,-16,4-16 Head,,,,
13,,2S,None,600,,,All,12,,Total 39,-4,,,,,
14,,6M,None,850,,,High,24,6,4+6 after landing,0,,,,,
15,,3L,None,80×4,,,All,9,1{(2)1}×3,17,-2,,,,,
16,,3[L],None,80×9,,,All,9,1{(2)1}×8,17,-2,,,,,
17,,3H,None,700,,,All,8,4,18,-6,6-11 Head,,,,
18,,j.L,None,400,,,High,6,5,12,,,,,,
19,,j.M,None,700,,,High,9,4,16,,,,,,
20,,j.H,None,850 / 1000,D1+ [D3+],,High,11,4,21,,,,,,
21,,j.S,None,600,,,All,9,,Total 41+5 after landing,,,,,,
22,,j.2H,None,850,U1+,,All,11,3,19,,,,,,
23,,j.2S,None,,,,,9,Until landing,+9 after landing,,,,,,
0,,236L,L Jet Uppercut,900,,,All,9[7],8,33[19],-29[-15],1-16 Head,,,,
1,,236M,M Jet Uppercut,"600,800 [600,800,180x1~3]",U1,,All,16 [16~18],4(7)9,33,-30,1-19 All [1-19~21 All],,,,
2,,236H,H Jet Uppercut,"600,1000 [600,1000,180×1~7]",U1,,All,9 [9~13],4(7)10,36,-34,1-12 All [1-12~16 All],,,,
3,,j.236L,L Machine Gun Kick,250*N,,,All,7,2{(3)2}×N [1{(2)1}×N],12,-4,,,,,
4,,j.236M,M Machine Gun Kick,250*N,,,All,13,2{(3)2}×N [1{(2)1}×N],12,-4,,,,,
5,,j.236H,H Machine Gun Kick,"50×10 [50×10,700]",U1+,,All,11,2{(3)2}×9 [1{(2)1}×18],12,+1,,,,,
6,,214L,L Ultimate Back Attack,1000,D1,,High,24 [24~32],8,11,-3,none [8-12~21 All],,,,
7,,214M,M Ultimate Back Attack,1100,D1,,High,28 [28~36],8,11,-3,none [6-11~18 all],,,,
8,,214H,H Ultimate Back Attack,1200,D1,,High,26 [26~34],8,11,-3,none [6-11~18 all],,,,
9,,j.214L,Air L Ultimate Back Attack,900,D1,,High,24 [24~32],8,13,[-3],none [8-12~21 all],,,,
10,,j.214M,Air M Ultimate Back Attack,1000,D1,,High,28 [28~36],8,13,[-3],none [6-11~18 all],,,,
11,,j.214H,Air H Ultimate Back Attack,1100,D1,,High,26 [26~34],8,13,[-3],none [6-11~18 all],,,,
12,,236S,Masenko,262×5 [262x7],,,All,18,25,21,-16,,,,,
0,,Assist A,Jet Uppercut,800,,,All,18,8,64,+29,10-? Head,,,,
1,,Assist B,Machine Gun Punch,150×7,,,All,35,21,,+40,,,40,,
2,,Assist C,Masenko,"200×5, 400",,,All,35,25,,+30,,,30,,
0,,236L+M,Potential Unleashed,1645,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
1,,236H+S Level 2,Potential Unleashed,2043,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
2,,236H+S Level 3,Potential Unleashed,2300,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
3,,236H+S Level 4,Potential Unleashed,2568,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
4,,236H+S Level 5,Potential Unleashed,2804,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
5,,236H+S Level 6,Potential Unleashed,3015,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
6,,236H+S Level 7,Potential Unleashed,3204,UDV,,All,9+3,10,44,-29,9-16 All,,25,,
7,,214L+M,Bros. Kamehameha,190×24,UDV,,All,9+3,101,50,-34 [+39],1-19 All,,,,
