,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,2,13,-3,,1,11,16,
1,,5LL,None,700,,,All,7,5,16,-5,,2,,,
2,,5LLL,None,1000,U3+,,All,15,4,17,-5,4 Low,4,,,
3,,5M,None,700,,,All,9,4,17,-5,,2,,,
4,,5H,None,850 / 1000,U1,,All,15,4,22,-10,,4,,,
5,,5S,None,300×6,,,All,13,,Total 37,-4,,,,,
6,,2L,None,400,,,Low,7,3,13,-4,,1,,,
7,,2M,None,700,,,Low,10,4,18,-5,,2,,,
8,,2H,None,850 / 1000,U1+,,All,14,3,22+7L,-16,4-16 Head,4,,,
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
10,,3H,None,750,,,Low,12,8,17,-10,4-20 Head,2,+14,,
11,,j.L,None,400,,,High,6,3,,,,1,,,
12,,j.M,None,700,,,High,9,3,,,,2,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,,,,3,,,
14,,j.S,None,250×6,,,All,11,,Total 46+3L,,,,,,
15,,j.2H,None,850,U1+,,All,13,5,,,,3,,,
0,,236L,L Accel Driver,900,,,All,15,,,-23,4-18 Head,3,,,
1,,236M,M Accel Driver,950,,,All,25-30,,,-23,4-28~33 Head,3,,,
2,,236H,H Accel Driver,1000,,,All,33-47,,,-23,1-36~50 Head,3,,,
3,,236[M],M Accel Driver (Feint),,,,,,,Total 33~38,,4-19~24 Head,,,,
4,,236[H],H Accel Driver (Feint),,,,,,,Total 35~49,,1-22~35 Head,,,,
5,,j.236L,Air L Second Gear,900,,,High,18,Until L,,,,,,,
6,,j.236M,Air M Second Gear,950,D1,,High,20,Until L,,,,,,,
7,,j.236H,Air H Second Gear,1000,D1,,High,18,Until L,,,,,,,
8,,214L,L Finishing Driver,900,,,All,31,,,-23,4-22 Projectiles23- 34 Head,3,,,
9,,214M,M Finishing Driver,950,,,All,37,,,-23,4-27 Projectile28-47 Head,3,,,
10,,214H,H Finishing Driver,1000,,,All,40,,,-23,4-22 Projectiles23-54 Head,3,,,
11,,214[M],M Finishing Driver (Feint),,,,,,,Total 48~55,,4-27 Projectiles28-34~41 Head,,,,
12,,214[H],H Finishing Driver (Feint),,,,,,,Total 45~56,,4-22 Projectiles23-31~42 Head,,,,
13,,j.214L,Air L Fake Out,,,,,,,Total: Until L(+?),,,,,,
14,,j.214M,Air M Fake Out,,,,,,,Total: Until L(+?),,,,,,
15,,j.214H,Air H Fake Out,,,,,,,Total: Until L(+?),,,,,,
16,,236S,Acrobatic Assault,,,,,Until wall,,+3L,,,,,,
17,,j.236S,Air Acrobatic Assault,,,,,Until wall,,+3L,,,,,,
18,,22S,Power Blitz Charge,800×2,,,All,14,,,-5,,,,,
19,,22S Shot,Power Blitz,"(300,150×4)×2",,,All,17,,,+6,,,,,
20,,j.22S Shot,Air Power Blitz,"(300,150×4)×2",,,All,16,,Until L,,,,,,
21,,236X > 5L,L Top Gear,700,,,All,8,,,-9,,3,,,
22,,236X > 5M,M Top Gear,750,,,All,10,,,-9,,3,,,
23,,236X > 6L,L Second Gear,700,,,High,25,,,-12,,3,,,
24,,236X > 6M,M Second Gear,750,,,High,26,,,-13,,3,,,
25,,236X > 2L,L Low Gear,700,,,Low,10,4,,-11,,3,,,
26,,236X > 2M,M Low Gear,750,,,Low,12,4,,-11,,3,,,
27,,236X > 4L,L Fake Out,,,,,,,,,,,,,
28,,236X > 4M,M Fake Out,,,,,,,,,,,,,
29,,236X > 5H,H Reverse Gear (Counter),,,,,,,,,? Non-throw,,,,
30,,236X > 5H > X,H Reverse Gear (Attack),1000,U1+,,All,,,,-22,? Non-throw,,,,
31,,236X > 5S,S Reverse Gear (Counter),,,,,,,,,"? Non-throw, non-Super",,,,
32,,236X > 5S > X,S Reverse Gear (Attack),1000,U1+,,All,,,,-22,"? Non-throw, non-Super",,,,
0,,Assist A,Reverse Gear,800,,,All,40,,,+35,11-33 Guard,,35,,
0,,236L+M,Endgame,2417,UDV,,All,7+7,,,-21,7-? All,,,,
1,,236H+S,Barrier Explosion,2322,UDV,,All,7+4,,,-21,1-? All,,,,
2,,j.236H+S,Air Barrier Explosion,2322,UDV,,All,6+4,,Until L,,1-? All,,,,
3,,214L+M,Super Electric Strike,320×15,UDV,,All,10+3,,,-42,1-18 All,,,,
4,,j.214L+M,Air Super Electric Strike,320×15,UDV,,All,10+3,,Until L,,1-18 All,,,,
