,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,16,-3,,1,15,,
1,,5LL,None,700,,,All,11,3,18,-5,,2,15,GBounce,GBounce
2,,5LLL,None,1000,U3+,,All,13,3,17,-4,,4,15,Launch,
3,,5M,None,700,,,All,12,4,16,-4,,2,15,,
4,,5H,None,850 / 1000,U1,,All,15,3,21,-8,,4,15,Launch,22
5,,5S,None,500,,,All,13,,Total 37,-4,,,20,Launch,25
6,,2L,None,400,,,Low,7,3,13,-4,,1,11,,
7,,2M,None,700,,,Low,10,3,18,-5,,2,15,Launch,22
8,,2H,None,850 / 1000,U1+,,All,13,3,28,-15,4-15 Head,4,15,Launch,22 / 39
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
10,,j.L,None,400,,,High,6,3,13,,,1,,,
11,,j.M,None,500×2,,,High,8,2(8)2,13,,,2,,,
12,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,19,,,3,,,
13,,j.S,None,500,,,All,13,,Total 34+5L,,,,,,
14,,j.2H,None,850,U1+,,All,12,4,22,,,3,,,/ 39
0,,236L,L Rebellion Spear,900,,,All,10,7,20,-5,,3,,,
1,,236M,M Rebellion Spear,"300,600→1100",U1+,,All,8,6(3)5,21+7L,-16,4-21 Head,3,15,Launch,
2,,236H,H Rebellion Spear,"300,600→300,1100→1100",,,All,8,"3~7,3,5",24,-5,,3,,Launch,
3,,j.236L,Air L Rebellion Spear,900,,,All,10,7,17,,,3,,Launch,
4,,j.236M,Air M Rebellion Spear,"300,600→1100",U1+,,All,12,Until L(2)3,28,-5,,3,25,Launch,
5,,j.236H,Air H Rebellion Spear,"300,600→300,1100→1100",,,All,8,"3~7,3,5",24,-5,,3,,Launch,
6,,214L,L Raging Meteor,"50×4, 1000",D1,,"All*4, High",10,10(4)5,16,-5,,,15,Launch,
7,,214M,M Raging Meteor,"50×6, 1100",D1,,"All*6, High",8,15(4)5,16,-5,,,15,Launch,
8,,214H,H Raging Meteor,"50×6, 1300",D1,,"All*6, High",7,14(1)5,16,-5,,,15,Launch,
9,,j.214L,Air L Raging Meteor,"50×4, 900",D1,,"All*4, High",11,8(4)5,15,,,,,,
10,,j.214M,Air M Raging Meteor,"50×6, 1000",D1,,"All*6, High",19,13,21,,,,,,
11,,j.214H,Air H Raging Meteor,"50×6, 1200",D1,,"All*6, High",8,13,15,,,,,,
12,,236S,Tyrant Lancer,1000 / 600×2,U1+,,All,26~34,2,21,+4,,,26,Launch,
13,,236[S],Tyrant Lancer (Charged),1500 / 800×2,U1+,,All,35~48,2,21,+8,,,26,Launch,
0,,Assist A,Rebellion Spear,800,,,All,21,,,+27,,,,,
1,,Assist B,Tyrant Lancer,1000,,,All,36,,,+46,,,,,
2,,Assist C,Rebellion Combination,"300, 600, 400",,,All,61 [21],,,+35,,,,,
0,,236L+M,Riot Javelin,2200 [1100],UDV,,All,10+4,,Total 72,-21,10-21 All,,,,
1,,j.236L+M,Air Riot Javelin,2200 [1100],UDV,,All,10+4,,Total 72,,10-21 All,,,,
2,,236H+S,Saiyan Spirit,"1318, 1590",UDV,,All,4+6,1(2)2,33 [41],-19 [-26],1-14 All,,,,
3,,j.236H+S,Air Saiyan Spirit,"1318, 1590",UDV,,All,4+6,1(2)2,Until L,,1-14 All,,,,
4,,214L+M,Revenge Assault,4248,UDV,,All,9+3,12,27,-14,1-23 All,,,,
5,,j.214L+M,Air Revenge Assault,4248,UDV,,All,9+3,12,Until L,,1-23 All,,,,
