,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,13,-4,,,11,16,16
1,,5LL,None,700,,,All,10,3,18,-5,,,15,Launch,19
2,,5LLL,None,1000,U3+,,All,15,3,26,-4,,,23,Launch,34
3,,5M,None,700,,,All,9,3,18,-5,,,15,19,19
4,,5H,None,850,U1,,All,14,4,20,-8,,,15,Launch,23 / 39
5,,5S,None,300×6,,,All,13,,25,-4,,,21,24,26
6,,2L,None,400,,,All,6,2,14,0,,,11,17,17
7,,2M,None,700,,,Low,10,6,21,-11,,,15,Launch,23
8,,2H,None,850,U1+,,All,14,3,30,-17,4-15 Head,,15,Launch,23 / 39
9,,2S,None,700,,,All,17,,29,-8,,,21,Launch,26
10,,2SS,None,700,,,All,15,,29,-8,,,21,Launch,26
11,,2SSS,None,1200,D1,,High,21,Until Landing,18,-5,,,15,Launch,
12,,6M,None,850,,,High,24,6,4+6L,0,,,15,19,23
13,,j.L,None,400,,,High,6,3,,,,,11,17,17
14,,j.M,None,700,,,High,10,3,,,,,15,19,19
15,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,,,,,15,19,
16,,j.S,None,600,,,All,12,,,,,,21,24,26
17,,j.2H,None,850,U1+,,High,11,4,,,,,15,Launch,23 / 39
0,,j.2M,Drop Down Shot,900,D1,,High,15,Until Landing,76,-21,,3,15,Slide,
1,,236L,L Heavy Elbow,900,,,All,10,6,19,-5 (forced),,,15,19,19
2,,236M,M Heavy Elbow,1100,U1+,,All,28,8,20,-5 (forced),4-11 All,,,Launch,
3,,236H,H Heavy Elbow,1300,U1+,,All,19,10,20,-5 (forced),4-11 All,,,Launch,
4,,j.236L,Air L Heavy Elbow,900,,,All,10,6,19,,,,15,19,19
5,,j.236M,Air M Heavy Elbow,1100,U1+,,All,28,8,20,,4-11 All,,,Launch,
6,,j.236H,Air H Heavy Elbow,1300,U1+,,All,18,10,20,,4-11 All,,,Launch,
7,,214L,L Back Throw,700,U2,,Throw,20,1,25,,,,,Launch,
8,,214M,M Back Throw,"700, 850","U2, D1",,Throw,22,8,25,,,,,Launch,
9,,214H,H Back Throw,"700, 1000",U1+,,Throw,20,8,19,,,,,Launch,
10,,236S,Kamehameha,1000,,,All,18,17,18,-9 (forced),,,22+9,Launch,
11,,j.236S,Air Kamehameha,1000,,,All,18,17,27,,,,22+9,Launch,
12,,214S,"Everyone, lend me your energy!",,,,,,,Total: 41~89,,,,,,
13,,214S 214S Level 1,Spirit Bomb (Level 1),"1000 / 0,50×18,1200",U2+,,All,21,,33-50,-1,,,,,
14,,214S 214S Level 2,Spirit Bomb (Level 2),"1000 / 0,60×24,1200",U2+,,All,21,,33-50,-1,,,,,
15,,214S 214S Level 3,Spirit Bomb (Level 3),"1000 / 0,70×30,1200",U2+,,All,21,,33-50,-1,,,,,
0,,Assist A,Energy Shockwave,800,,,All,29,3,48,+37,,,37,Launch,55
1,,Assist B,"Everyone, lend me your energy!",,,,,19,25,,,,,,,
2,,Assist C,Kamehameha,"800, 280",,,,"34, 21",17,,32,,,32,,
0,,236L+M,Kaioken,,,,,9+0,,,,5-9 All,,,,
1,,Kaioken 5L,,600,UDV,,All,13,,,-29 (forced),,,,,
2,,Kaioken 2L,,600,UDV,,High,25,,,-34 (forced),,,,,
3,,Kaioken 5M,,600,UDV,,All,28,,,-34 (forced),5-23 All,,,,
4,,Kaioken 2M,,600,UDV,,Low,15,10,,-34 (forced) [-33],,,,,
5,,Kaioken 5H,,700,UDV,,Throw,33,,,,,,,,
6,,Kaioken 5S,,650,UDV,,All,9,,,-31,,,,,
7,,Kaioken 2S,,650,UDV,,All,9,,,-34,,,,,
8,,Kaioken L+M,Kaioken Finisher,"600, 1800",UDV,,All,19,,,-36,1-22 All,,,,
9,,Kaioken H+S Level 1,x3 Kaioken Kamehameha,250×15 [250×14],UDV,,All,1+3,,Total 9+124,-40,1-11 All,,,,
10,,Kaioken H+S Level 2,x20 Kaioken Kamehameha,250×20,UDV,,All,1+1,,,-42,1-9 All,,,,
11,,214L+M,Super Spirit Bomb,"60*N, 5200",UDV,,All,7+1,,,-11,1-61 All,,,,
12,,j.214L+M,Air Super Spirit Bomb,"60*N, 5200",UDV,,All,7+1,,,-11,1-61 All,,,,
