,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,11,-2,,,11,16,16
1,,5LL,None,700,,,All,11,3,18,-5,,,15,,
2,,5LLL,None,"300, 700",U3+,,All,11,2,18,-4 (airborne),,,15,Launch,39
3,,5M,None,700,,,All,9,3,18,-5,,,15,,
4,,5H,None,850,U1,,All,13,6,18,-8,,,15,Launch,22 /
5,,5S,None,300×1~8,,,All,13,,24,-3,,,20,23,25
6,,2L,None,400,,,All,7,3,13,-4,,,11,16,16
7,,2M,None,700,,,Low,11,4,18,-6,,,15,Launch,22
8,,2H,None,850,U1+,,All,13,3,27,-14,4-15 Head,,15,Launch,22 / 39
9,,2S,None,500,,,All,12,,24,-3~+20,,,20,23,25
10,,6M,None,850,,,High,24,6,4+6L,0,,,15,18,23
11,,j.L,None,400,,,High,6,3,,,,,,,
12,,j.M,None,700,,,High,9,4,,,,,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,,,,,,,
14,,j.S,None,300,,,All,13,,X+7L,,,,20,23,25
15,,j.2H,None,850,U1+,,All,12,5,,,,,15,Launch,22 / 39
16,,j.2S,None,500,,,All,12,,X+5L,,,,20,23,25
0,,236L,L Super Dash Kick,800,,,All,11,6,15,-5 (airborne),,,15,Launch,
1,,236M,M Super Dash Kick,900,U1,,All,15,9,21,-9,,,,Launch,
2,,236H,H Super Dash Kick,1300,U1,,All,29-36,9,22,-5,9~19-26 Full (while invisible),,,Launch,
3,,j.236L,Air L Super Dash Kick,800,,,All,11,4,23,,,,,Launch,
4,,j.236M,Air M Super Dash Kick,900,U1,,All,15,9,23,,,,,Launch,
5,,j.236H,Air H Super Dash Kick,1300,U1,,All,29-36,9,23,,5~19-26 Full (while invisible),,,Launch,
6,,214L,L Deadly Knee Drop,920,D1,,All,26-33,"Until Landing, 3",14,-4,,,,Launch,
7,,214M,M Deadly Knee Drop,1000,D1,,All,29-33,"Until Landing, 3",14,-4,,,,Launch,
8,,214H,H Deadly Knee Drop,1200,D1,,All,26-33,"Until Landing, 3",14,-4,,,,Launch,
9,,j.214L,Air L Deadly Knee Drop,920,D1,,All,26-33,"Until Landing, 3",14,-4,,,,Launch,
10,,j.214M,Air M Deadly Knee Drop,1000,D1,,All,29-33,"Until Landing, 3",14,-4,,,,Launch,
11,,j.214H,Air H Deadly Knee Drop,1200,D1,,All,26-33,"Until Landing, 3",14,-4,,,,Launch,
12,,236S,Energy Cutter,1000,,,All,22,,23,-4 (airborne),,,,Launch,
13,,214S,I have no use for Saiyans that can't move,0,U1,,Throw,16,3,15,,,,,Launch,22 / 39
0,,Assist A,Energy Cutter,800,,,All,26,,,+30,,,30,Launch,
1,,Assist B,Super Dash Kick,800,,,All,21~26,6,,+25,,,25,Launch,50
2,,Assist C,Dirty Fireworks,"300, 490, 280",,,All,28 [20],,,+29,,,29,,
0,,236L+M,Galick Gun,280×10 [350×10],,,All,9+4,,,-21,9-20 All,,,,
1,,j.236L+M,Air Galick Gun,280×10,,,All,9+4,,,,9-20 All,,,,
2,,214L+M,Galaxy Breaker,234×20 [260×20],,,All,9+3,,,-27,1-20 All,,,,
