,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,1,,,
1,,5LL,None,700,,,All,9,3,18,-5,,2,,,
2,,5LLL,None,1000,U3+,,All,32 [5],2,19,-5,,4,,,
3,,5M,None,700,,,All,11,4,17,-5,,2,,,
4,,5H,None,850 / 1000,U1,,All,13,5,17,-6,4-17 Projectiles,4,,,
5,,5S,None,500,,,All,13,,23,-2,,,,,
6,,2L,None,400,,,Low,7,3,12,-3,,1,,,
7,,2M,None,700,,,Low,12~24,5,20,-9,,2,,,
8,,2H,None,850 / 1000,U1+,,All,13,3,27,-14,4-15 Head,4,,,
9,,2S,None,500 [700],,,All,15,300,23,-2,,,,,
10,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
11,,j.L,None,400,,,High,7,3,12,,,1,,,
12,,j.M,None,700,,,High,9,3,15,,,2,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,3,21,,,3,,,
14,,j.S,None,330×2 [330×4],,,All,13,,Total 51+7L,,,,,,
15,,j.2H,None,850,U1,,All,15,8,22,,,3,,,
0,,236L,L Sphere of Destruction,"500, 700",,,All,"11, 32",1,13,-2,,,,,
1,,236M,M Sphere of Destruction,"500, 800",U1+,,All,"11, 34",1,13,-23*,,,,,
2,,236H,H Sphere of Destruction,"500×2, 800/900/1000",U1+,,All,"11, 32",2,10/12/14,-13/+1/+6,,,,,
3,,j.236L,Air L Sphere of Destruction,"500, 700",,,All,"11, 27",1,21,,,,,,
4,,j.236M,Air M Sphere of Destruction,"500, 800",U1+,,All,"11, 27",1,27,,,,,,
5,,j.236H,Air H Sphere of Destruction,"500×2, 800/900/1000",U1+,,All,"11, 28",2,22,-,,,,,
6,,236[L/M/H],Sphere of Destruction (Hold),500/500x2 [700/700x2],,,All,11,(300) (if no contact),22,-2/-1,,,,,
7,,j.236[L/M/H],Air Sphere of Destruction (Hold),500/500x2 [700/700x2],,,All,11,(300) (if no contact),22,,,,,,
8,,214L,L God of Destruction's Rampage,"500, 550",,,All,15,3,18,-5,,,,,
9,,214M,M God of Destruction's Rampage,"500, 900",D1,,All,17,3,18,-5,,,,,
10,,214H,H God of Destruction's Rampage,"500, 1250",D1,,All,17,3,18,-5,,,,,
11,,j.214L,Air L God of Destruction's Rampage,"500, 500",,,All,14,until landing,,-5,,,,,
12,,j.214M,Air M God of Destruction's Rampage,"500, 750",D1,,All,17,until landing,,-5,,,,,
13,,j.214H,Air H God of Destruction's Rampage,"500, 1000",D1,,All,14,until landing,,-5,,,,,
14,,236S,Spheres of Destruction,500×6,,,All,34,300,Total 55,-4,,,,,
15,,214S,God of Destruction's Wrath,400×10,,,All,9(14 in front),,64 (first)/38 (last),-35,1-33 All,,,,
16,,j.214S,Air God of Destruction's Wrath,400×10,,,All,9(14 in front),,60(first)/34(last)+10L,,1-33 All,,,,
0,,Assist A,Sphere of Destruction,"500 [700], 600",,,All,"20, 41","42, 4",,+50/+29,,,,,
1,,Assist B,God of Destruction's Rampage,"400, 600",,,All,30,"4, 3",,+34,,,,,
2,,Assist C,God of Destruction's Wrath,"200×10, 1000",,,All,39 [18],25,,+17-40/+11,frame 31 armor,,16,,
0,,236L+M,Beerus Ball,"100×15, 1200",UDV,,All,11+4,,Total 65,-19,11-23 All,,,,
1,,j.236L+M,Air Beerus Ball,"100×15, 1200",UDV,,All,11+4,,Total 63,,11-23 All,,,,
2,,236L+M > X,Beerus Ball of Destruction,2000,UDV,,All,1+5,3,36,-19,1-5 All,,,,
3,,214L+M,God of Destruction's Judgment,4800,UDV,,Throw,7+3,1,23,-33 (whiff) [+41],1-12 All,,,,
