,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,1,11,,
1,,5LL,None,700,,,All,9,9,20,-5,,2,15,,
2,,5LLL,None,1000,U3+,,Throw,9,1,18,,,,,,
3,,5M,None,700 [550],,,All,9,3,18,-5,,2,15,,
4,,5H,None,850[1150] / 1000[1300],U1,,All,14~30,3,21,-8,,4,15,,
5,,5S,None,300×5,,,All,10,X[(10)X*4],24,-4,,,21,,
6,,2L,None,400,,,Low,7,3,12,-3,,1,,,
7,,2M,None,700,,,Low,12,8,18,-10,,2,15,,
8,,2H,None,850 / 1000,U1+,,All,13,3,31,-18,4-15 Head,4,15,,
9,,2S,None,400×3,,,All,18,,Total 56+15L,+2,,,15+5,,
10,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
11,,6H,None,850,,,Low,13,3,18,-5,,3,15,,
12,,j.L,None,400,,,High,6,3,17,,,1,,,
13,,j.M,None,700,,,High,11,3,17,,,2,,,
14,,j.H,None,850 / 1000,D1+ [D3+],,High,13,8,22,,,3,,,
15,,j.S,None,"500, 500",,,All,17 [15],2,45,,,,,,
16,,j.2H,None,850,U1,,All,15,3,19,,,3,,,
0,,j.2M,Hell Strike,900,,,High,33,3,30,-3,8-15 All,2,15,,
1,,236L,L Rolling Crush,"100×4, 900",D1,,"All*4, High",8,"2,2,2,2(8)3",15,-2,,"2×4, 3",15×5,,
2,,236M,M Rolling Crush,"100×4, 1000",D1,,"All*4, High",10,"2,2,2,2(8)3",15,-2,,"2×4, 3",15×5,,
3,,236H,H Rolling Crush,"100×4, 1200",D1,,"All*4, High",8,"2,2,2,2(8)3",15,-2,,"2×4, 3",15×5,,
4,,j.236L,Air L Rolling Crush,"100*N, 700",D1,,"All*N, High",19,2*N(??)3,15,-2,,,"15*N, 15",,
5,,j.236M,Air M Rolling Crush,"100*N, 700",D1,,"All*N, High",19,2*N(??)3,15,-2,,,,,
6,,j.236H,Air H Rolling Crush,"100*N, 1000",D1,,"All*N, High",8,2*N(??)3,15,-2,,,,,
7,,214L,L Perfect Attack,"400, 400, 400",,,All,12,3,30,-3 ~ -1,4-14 Head,,,,
8,,214M,M Perfect Attack,"400, 400, 600",U1+,,All,12,3,36,-3 ~ -2,3-14 Head,,,,
9,,214H,H Perfect Attack,"400, 400, 1000",U2+,,All,12,3,32,-1,1-14 Head,,,,
10,,j.214L,Air L Perfect Attack,"500, 500",,,All,12,3,26,,4-15 Head,,,,
11,,j.214M,Air M Perfect Attack,"500, 500",,,All,8,3,32,,4-10 Head,,,,
12,,j.214H,Air H Perfect Attack,"500, 500, 500",U1+,,All,8,3,32,-1,4-10 Head,,,,
13,,236S,Kamehameha,262×5 [280×5],,,All,18,25 [21],21 [17],-16 [-10],,,,,
14,,j.236S,Air Kamehameha,262×5,,,All,18,25,24,,,,,,
15,,214S,Psycho Crash,"150×8, 800",U2+,,Throw,30,3,25,,,,,,
0,,Assist A,Kamehameha,200×5,,,All,42,25,95,+30,,,30-32,,
1,,Assist B,Shoulder Tackle,800,,,All,20-25,9,,+29,,,29,,
2,,Assist C,Perfect Attack,"550, 400×2",,,All,28 [20],6,,+25,Head,,,,
0,,236L+M,Energy Field,500×6,UDV,,All,10+3,3×6,50,-35,1-30 All,,,,
1,,j.236L+M,Air Energy Field,500×6,UDV,,All,10+3,3×6,52,,1-30 All,,,,
2,,214L+M,Solar Kamehameha,"220×19, 360",UDV,,All,9+3,85,51,-34 [+42],1-19 All,,,,
