,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit,image
0,,5L,None,400,,,All,6,3,12,-3,,1,,,,https://cdn.discordapp.com/attachments/1005820739523444736/1005820776462684170/DBFZ_Cooler_5L.png
1,,5LL,None,700,,,All,11,3,20,-7,,2,,,,
2,,5LLL,None,850 / 500ÁE2,U3+,,All,16,3,18,-5,,3,,,,
3,,5M,None,700,,,All,10,2,21,-7,,2,14,,,
4,,5H,None,"850 / 400,100,500",U1,,All,17,6,22,-7,,4,,,,
5,,5S,None,500,,,All,11,,Total 26,-5,,2,,,,
6,,2L,None,400,,,All,7,3,9,0,,1,,,,
7,,2M,None,700,,,Low,13,2,23,-9,,2,,,,
8,,2H,None,850 / 1000,U1+,,All,14,3,28,-11,4-16 Head,4,,,,
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,,,,
10,,6H,None,750,,,Low,15,3,18,-5,,3,,,,
11,,3H,None,750,,,All,19~28,3,23,-10,"4-21~30 Head, 7-21~30 Projectiles",4,,,,
12,,j.L,None,400,,,High,7,3,,,,1,,,,
13,,j.M,None,700,,,High,12,3,,,,2,,,,
14,,j.H,None,850 / 1000,D1+ [D3+],,High,14,3,,,,3,,,,
15,,j.S,None,500,,,All,15,,Total 27,,,2,,,,
16,,j.2H,None,850,U1,,All,15,3,,,,3,,,,
0,,236L,L Death Chaser,1280,,,High,24,5,21,-4 ~ -1,,3,,,,
1,,236M,M Death Chaser,1490,D1,,High,27,7,26,+1 ~ +5,,3,,,,
2,,236H,H Death Chaser,1630,D1,,High,24,5,37,+2 ~ +5,,3,,,,
3,,j.236L,Air L Death Chaser,1120,,,High,20,Until L,28,-6 ~ -1,,3,,,,
4,,j.236M,Air M Death Chaser,1330,D1,,High,27,Until L,23,+1 ~ +5,,3,,,,
5,,j.236H,Air H Death Chaser,1470,D1,,High,20,Until L,22,±0 ~ +5,,3,,,,
6,,214L,L Death Breaker,900,,,All,10,8,47,-43,1-13 Head,3,,,,
7,,214M,M Death Breaker,950,,,All,18,10,46,-44,1-21 All,3,,,,
8,,214H,H Death Breaker,1000,,,All,10,10,46,-44,1-13 All,3,,,,
9,,j.214L,Air L Death Breaker,900,,,All,10,8,46,,1-13 Head,3,,,,
10,,j.214M,Air M Death Breaker,950,,,All,14,10,46,,1-17 All,3,,,,
11,,j.214H,Air H Death Breaker,1000,,,All,10,10,36,,1-13 All,3,,,,
12,,214X > L,L Death Breaker Follow-up,500,D1,,,22 [24],,,,,3,,,,
13,,214X > M,M Death Breaker Follow-up,500,D1,,,22 [24],,,,,3,,,,
14,,214X > H,L/M > H Death Breaker Follow-up,"600, 900",D1,,,22 [24],,,,,0,,,,
15,,214H > H,H > H Death Breaker Follow-up,"600, 900, 900",D1,,,22 [24],,,,,0,,,,
16,,236S,Death Flash,270ÁE5,,,All,23,25,21,-7,,3,,,,
17,,j.236S,Air Death Flash,270ÁE5,,,All,23,25,30,,,3,,,,
18,,214S,Death Shaker,1000,,,Low,22,5,31,-14,,3,,,,
0,,Assist A,Death Breaker,800,,,All,25,10,,26,starting frame 10,3,,,,
1,,Assist B,Genocidal Uppercut,800,,,All,35,6,,29,Head/Projectile starting frame 17,3,,,,
2,,Assist C,Death Crasher,"200ÁE5, 400",,,All,35 [22],25,,-2,,3,,,,
0,,236L+M,Death Crasher,2420,UDV,,All,10+4~9,8,37,-27,10=>17-22 All,4,,,,
1,,j.236L+M,Death Drop,"800, 1200",UDV,,High,9+4,Until L,,-26 ~ -21,9-? All,4,,,,
2,,214L+M Catch,L+M Atomic Supernova (Counter),,,,,,,Total 71,,"1-42 Strike, Projectiles Guard",,,,,
3,,214L+M Attack,L+M Atomic Supernova (Attack),4020,UDV,,Throw,13,1,29,,1-19 All,,,,,
4,,214H+S,H+S Atomic Supernova,4770,UDV,,Throw,10+3,,,,1-23 All,,,,,
5,,j.214L+M,Air Atomic Supernova,4770,UDV,,Throw,10+3,,Until L,,1-23 All,,,,,
