,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,500,,,All,10,4,19,-7,,2,,,
1,,5LL,None,"700 / 0,700",,,All,15,1,26,-11,,2,,,
2,,5LLL,None,"400, 100, 500",U3+,,,1,,,,,,,,
3,,5M,None,700,,,All,15,4,23,-11,,2,,,
4,,5H,None,850[1150] / 1000[1300],U1,,All,15~38,7,31,-16,10-21~44 Armor,4,,,
5,,5S,None,300×5,,,All,15,X{(10)X}×4,27,-7,,,,,
6,,2L,None,500,,,All,6,4,20,-8,,1,,,
7,,2M,None,700×1~4,,,Low,14 [21],4,19,-7,,2,,,
8,,2H,None,850 / 1000,U1+,,All,15,3,27,-14,4-19 Head,4,,,
9,,2S,None,900,,,All,24,,Total 71,-18,,,,,
10,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
11,,6H,None,1300,U2,,Throw,28,1,33,,,,,,
12,,j.L,None,500,,,High,8,6,11,,,2,,,
13,,j.M,None,700,,,High,11,4,14,,,2,,,
14,,j.H,None,850 / 1000,D1+ [D3+],,High,15,5,19,,,3,,,
15,,j.S,None,"100×2, 300, 700",,,All,13,"12,2,Until ground,",Total 65+10L,,,,,,
16,,j.2H,None,850,U2,,Throw,13,3,32+7L,,,,,,
0,,236L,L Raging Quake,"100,100,800 / 100,100,300 / 0,600,400",U1+,,All,12,"3,2",Total 45,-5,,3,,,
1,,236M,M Raging Quake,"100,100,800 / 100,100,300 / 0,700,400",U1+,,All,17,"4,2",Total 51,-5,,3,,,
2,,236H,H Raging Quake,"100,800,1200 / 100,800,1200 / 0,800,1200",U1+,,All,12,"3,2",,-5,,3,,,
3,,j.236L,Air L Raging Quake,"100,100,800 / 100,100,300 / 0,600,400",U1+,,All,13,,,-5,,3,,,
4,,j.236M,Air M Raging Quake,"100,100,800 / 100,100,300 / 0,700,400",U1+,,All,17,,,-5,,3,,,
5,,j.236H,Air H Raging Quake,"100,800,1200 / 100,800,1200 / 0,800,1200",U1+,,All,13,,,-5,,3,,,
6,,214L,L Gigantic Fury,"0,200×3 / 0,400,300×3,500",U1+ → D2,,Throw,24,3,21,,,,,,
7,,214M,M Gigantic Fury,"0,200×3 / 0,400,300×3,500",U1+ → D2,,Throw,12,3,23,,4-14 Head,,,,
8,,214H,H Gigantic Fury,"0,500×3 / 0,400×3,200×2,500",U1+ → D2,,Throw,22 [12],1 [3],21 [23],,1-24 [1-14] Head,,,,
9,,236S,Eraser Blow,"300,1100 / 0,1100 / 0,700,900",D1,,All,17,1(2)X,Total 46,-5,4-21 Armor,3,,,
10,,214S,Gigantic Heave,"300×2, 50×7, 300",U1+,,Throw,16,5,16,,,,,,
0,,Assist A,Raging Quake,800,,,All,36,"3, 3, 3, 3",,+36,,,,Launch,
1,,Assist B,Eraser Blow,800,,,All,26,,,+30,,,,,
2,,Assist C,Blaster Cannon,"800, 400",,,All,34 [21],,,+32,,,,,
0,,236L+M,Gigantic Charge,"800, 2000",UDV,,All,9+4,4,62,-50,9-16~26 All,,,,
1,,j.236L+M,Gigantic Impact,1000×1~3,,,All,9+4,16,37L; 44+7L,,9 All 10-? Guard All,,,,
2,,j.236L+M > L+M,Omega Blaster,550×6,UDV,,All,5+3,,,,1-19 All,,,,
3,,236H+S,Meteor Shower,"1800, 100×31, 300×19",UDV,,All,9+2,"38,X",Total 94+25L,-50,"1-12, 92-95 All",,,,
4,,j.236H+S,Air Meteor Shower,"1800, 100×31, 300×19",UDV,,All,9+2,"38,X",Total 94+25L,-50,"1-12, 92-95 All",,,,
5,,214L+M,Gigantic Roar,"801, 235×15",UDV,,All,10+3,10,31,-25,1-22 All,,,,
