,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,13,-4,,,,,
1,,5LL,None,700,,,All,10,4,16,-6,,,,,
2,,5LLL,None,"400 / 0,1000",U3+,,All,13,3,23,-5,,,,,
3,,5M,None,700,,,All,13,5,17,-6,,,,,
4,,5H,None,"150, 100×8",U1,,All,13,,46 (from first active frame),-12,,,,,
5,,5S,None,300×6,,,All,11,2 [(11)1×6],25,,,,,,
6,,2L,None,400,,,Low,7,3,13,-4,,,,,
7,,2M,None,600×2,,,Low,10,4(10)4,14,-2,,,,,
8,,2H,None,850,,,All,17,3,31,-19,,,,,
9,,2S,None,700,,,All,15,1,24,,,,,,
10,,6M,None,850,,,High,24,6,10,0,,,,,
11,,j.L,None,400,,,High,7 [6],4,,,,,,,
12,,j.M,None,600×2,,,High,7,2(7)3,,,,,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,5,,,,,,,
14,,j.S,None,500×3,,,All,15,6,,,,,,,
15,,j.2H,None,850 / 1000,D1,,All,18,5,,,,,,,
16,,j.2S,None,600,,,All,14,,,,,,,,
0,,236L,L Death Slash,1100,,,All,14,5,26,-4,,,,,
1,,236M,M Death Slash,1100,,,All,18,5,30,-9,,,,,
2,,236H,H Death Slash,1000×2,,,All,14,9,20,-5,,,,,
3,,236S,You might not survive this time,"300,300×4 / 0,400,850",U2+,,All,13,,,-20,,,,,
4,,j.236S,Air You might not survive this time,"300,300×4 / 0,400,850",U2+,,All,13,,,,,,,,
5,,214S,Death Saucer,"700×2, 700×2",,,All,33,,,+2,,,,,
6,,22S,Warp Smash,900,,,All,34,5,31,-3,4-19 All,,,,
0,,Assist A,Death Slash,800,,,All,23,5,58,+23,,,23,,
1,,Assist B,You might not survive this time,"250, 175x3",,,All,19,31,,+11,,,11,,
2,,Assist C,Psychokinesis,"60, 42x8, 700 / 42x8, 700",,,All,20~37,,,+24 ~ +29,,,24~29,,
0,,236L+M,Death Ball,"20*N, 2600",UDV,,All,8+4,,,,,,,,
1,,j.236L+M,Air Death Ball,"20*N, 2600",UDV,,All,7+4,,,,,,,,
2,,214L+M,Nova Strike,4200,UDV,,High,11+1,,,-26 [+42],,,,,
3,,j.214L+M,Air Nova Strike,4200,UDV,,High,11+1,Until Landing,,,1-6F after landing All,,,,
4,,Knocked Down > [H+S],You must die by my hand!,480×10,UDV,,All,39+2,45,,-68 [+35],,,,,
5,,214H+S,Golden Frieza,,,,,34+0,,,,1-34 All,,,,
6,,Golden Frieza ends > S,Sorbet's Ray Gun,1200,UDV,,All,8+0,,,,,,,,
