,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,4,11,-3,,,,,
1,,5LL,None,500×2,,,All,11,4(11)4,17,-5,,,,,
2,,5LLL,None,1000,U3+,,All,14,5,16,-5,,,,,
3,,5M,None,700,,,All,10,4,18,-6,,,,,
4,,5H,None,850[1150] / 1000[1300],U1,,Low,17~41,5,21,-10,9-17~41 Ki Blasts,,,,
5,,2L,None,400,,,All,6,3,9,0,,,11,,
6,,2M,None,700,,,Low,14,4,19,-7,,,,,
7,,2H,None,850 / 1000,U1+,,All,15,3,26,-13,4-17 Head,,,,
8,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
9,,j.L,None,300×2,,,High [All],6,2(7)2,13,,,,,,
10,,j.M,None,700,,,High,10,4,16,,,,,,
11,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,24,,,,,,
12,,j.2H,None,850,U1+,,All,13,4,24,,,,,,
0,,236L,L Strong Jersey,1000,,,All,13,10,20,-5,,,,,
1,,236M,M Strong Jersey,1200,U1+,,All,16,10,20,-5,,,,,
2,,236H,H Strong Jersey,1300,U1+,,All,11,10,18,-5,,,,,
3,,j.236L,Air L Strong Jersey,1000,,,All,13,8,20,,,,,,
4,,j.236M,Air M Strong Jersey,1200,U1+,,All,16,8,20,,,,,,
5,,j.236H,Air H Strong Jersey,1300,U1+,,All,11,8,20,,,,,,
6,,5S,,,,,,24,,Total 34,,Frame 4-? Kiblasts,,,,
7,,j.S,,,,,,24,,Total 45(+9L),,Frame 4-? Kiblasts,,,,
8,,5S Guldo,,700,,,All,20,,Total 97,+20,,,,,
9,,5S Recoome,,900,,,All,37~50,6,65,+35,33-Recovery Ki Blasts,,,,
10,,5S Burter,,250×4,,,All,9,3{(3)3}×3,68,+42,,,,,
11,,5S Jeice,,700,,,All,20,,Total 86,+25,,,24,,
12,,236S,Together We Are...the Ginyu Force!,,,,,28,,Total 34,,,,,,
13,,j.236S,Air Together We Are...the Ginyu Force!,,,,,35,,Total 45(+9L),,,,,,
14,,236S Guldo,Together We Are...the Ginyu Force! (Guldo),0,,,All,27,31,67,+20,,,19,,
15,,236S Recoome,Together We Are...the Ginyu Force! (Recoome),150×9,,,All,52,45,72,+46,,,48,,
16,,236S Burter,Together We Are...the Ginyu Force! (Burter),850×4,,,All,26,30(23)30(23)30(23)45,44,+20 per hit,,,19,,
17,,236S Jeice,Together We Are...the Ginyu Force! (Jeice),400×N,,,All,137,X{(2)X}×N,,,95-End All,,20,,
18,,214S Recoome,Together We Are...the Ginyu Force! (Recoome),2000,,,All,350,13,99,+45,Projectiles,,44,,
19,,214S Burter,Together We Are...the Ginyu Force! (Burter),850×2,,,All,35,30(23)45,44,+20 per hit,,,19,,
20,,5S Fail,,,,,,,,Total 36,,,,,,
21,,j.S Fail,,,,,,,,Total 44,,,,,,
0,,Assist A,Strong Jersey,800,,,All,26,10,,+33,,,,,
1,,Assist B,We are the Ginyu Force!,,,,All,,,,,,,,,
2,,Assist C,Strong Mixer,"450×2, 400",,,All,35 [20],,,+55,,,,,
0,,236L+M Level 1,Powerful Energy Wave (Level 1),2000,UDV,,All,9+4,,Total 68,-27,9-20 All,,,,
1,,236L+M Level 2,Powerful Energy Wave (Level 2),2500,UDV,,All,9+4,,Total 68,-27,9-20 All,,,,
2,,236L+M Level 3,Powerful Energy Wave (Level 3),3000,UDV,,All,9+3,,Total 67,-32 [+40],9-19 All,,,,
3,,214L+M,Body Change,0,UDV,,All,45+12,25,39,-24 [±0],1-76 All,,,,
4,,j.214L+M,Air Body Change,0,UDV,,All,45+12,25,39,-24 [±0],1-76 All,,,,
5,,214H+S,Together we are... the Ginyu Force!,4245,UDV,,All,9+3,10,31,-16 [+43],1-21 All,,,,
