,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,4,10,-2,,,,,
1,,5LL,None,700,,,All,9,3,15,-5,,,,,
2,,5LLL,None,1000,U3+,,All,14,6,15,-5,,,,,
3,,5M,None,700,,,All,9,3,18,-5,,,,,
4,,5H,None,850,U1,,All,14,3,23,-10,,,,,
5,,5S,None,850 [600],,,All,13,1,27,-6/+16/-3,,,,,
6,,2L,None,400,,,All,7 [6],3,15,0,,,,,
7,,2M,None,700,,,Low,11,3,17,-4,,,,,
8,,2H,None,850,U1+,,All,15,3,28,-15,,,,,
9,,2S,None,600,,,All,30,,15,+5~+13,,,,,
10,,6M,None,700,,,All,24,6,10,0,,,,,
11,,j.L,None,400,,,High,6,3,12,,,,,,
12,,j.M,None,700,,,High,9,3,15,,,,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,3,18,,,,,,
14,,j.S,None,600,,,All,13,1,20,,,,,,
15,,j.2H,None,850,U1+,,All,13,3,24,,,,,,
0,,236L,L God Slicer,"250, 800",,,All,13,0 (13) 4,23,-4,,,,Launch,
1,,236M,M God Slicer,"200×4, 800",D1,,All,20,1 (4) 1 (4) 1 (4) 1 (13) 6,33,-5 at best,,,,Launch,
2,,236H,H God Slicer,"200×4, 1000",D1,,All,13,1 (4) 1 (4) 1 (4) 1 (13) 6,30,-5 at best,,,,Launch,
3,,j.236L,Air L God Slicer,"250, 800",,,All,13,1 (13) 4,23,,,,,Launch,
4,,j.236M,Air M God Slicer,"200×4, 800",D1,,All,20,1 (4) 1 (4) 1 (4) 1 (13) 6,33,,,,,Launch,
5,,j.236H,Air H God Slicer,"200×4, 1000",D1,,All,13,1 (4) 1 (4) 1 (4) 1 (13) 6,30,,,,,Launch,
6,,214L,L Instant Transmission,,,,,"Teleport 19, Appear 26",,3 (28 Total),,19-25 Full,,,,
7,,214M,M Instant Transmission,,,,,"Teleport 19, Appear 26",,3 (28 Total),,19-25 Full,,,,
8,,214H,H Instant Transmission,,,,,"Teleport 19, Appear 22",,3 (24 Total),,19-25 Full,,,,
9,,j.214L,L Fierce God Kick,700,,,All,14,Until Landing (2f minimum),19,-1~-6,,,,,
10,,j.214M,M Fierce God Kick,"400, 600",U1,,All,18,Until Landing (2f minimum),19,-1~-6,,,,,
11,,j.214H,H Fierce God Kick,"400, 1000",U1+,,All,14,Until Landing (2f minimum),19,-1~-6,,,,,
12,,236S,Black Kamehameha,262×5,,,All,18,25,19,-14,,,,,
13,,214S,Binding Black Kamehameha,310×5 [262×3],U2,,Throw [All],28,1 (7) 17,19,-13,,,,,
0,,Assist A,Black Kamehameha,200×5,,,All,35,25,,+30,,,15+2×5,Launch,
1,,Assist B,Godly Severance,800,,,All,20,,,+29,,,29,,
2,,Assist C,Fierce God Kick,"800, 300",,,All,50 [20],,,+32,,,32,,
0,,236L+M,God Slicer Dance,"50×18, 1600~2000",UDV,,All,9+4,26,50,-24,9-21 Full,,,Launch,
1,,j.236L+M,Air God Slicer Dance,"50×18, 1600~2000",UDV,,All,9+4,26,56,-30,9-21 Full,,,Launch,
2,,236H+S,Holy Light Grenade,"1000, 1600",UDV,,All,9+4,"16, 23",29,-30,9-15 Full,,,Launch,
3,,j.236H+S,Air Holy Light Grenade,"1000, 1600",UDV,,All,9+4,"Until Landing, 23",29,-33,9-15 Full,,,Launch,
4,,214L+M,The Work of a God,4015,UDV,,All,9+3,30,41,-38,1-17 Full,,,Launch,
5,,j.214L+M,Air The Work of a God,4015,UDV,,All,9+3,30,33,-30,1-17 Full,,,Launch,
