,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,,11,16,16
1,,5LL,None,700,,,All,10,3,18,-5,,,15,18,18
2,,5LLL,None,1000,U3+,,All,14 (22 if 5LL whiffed),9,25,0 (in air),,,26,Launch,34
3,,2L,None,400,,,Low,7,3,13,-4,,,11,16,16
4,,5M,None,700,,,All,9,6,16,-6,,,15,18,18
5,,2M,None,700,,,Low,11,6,17,-7,,,15,Launch,23
6,,6M,None,850,,,High,24,6,4+6L,,,,15,18,23
7,,5H,None,850 [1275],U1,,All,13 [40],6,18,-8 [+1],,,15,Launch,23 / 39
8,,2H,None,850,U1+,,All,14,7,25+L,-16,4-16 Head,,15,Launch,23 / 39
9,,5S,None,350×1~4,,,All,14,,25,-4,,,21,24,26
10,,j.L,None,300×3,,,High [All],7,1(3)1(3)1,,,,,11,16,16
11,,j.M,None,700,,,High,9,3,,,,,15,18,18
12,,j.H,None,850 / 1000,D1+ [D3+],,High,13,6,,,,,15,18,60 / 60 (slide)
13,,j.2H,None,850,U1+,,All,13,4,,,,,15,Launch,20 / 39
14,,j.S,None,600,,,All,15,,Total 32+3L,,,,21,24,26
0,,236L,L Miracle Super Punch,100×4,,,All,9,"{2(2)}×3, 2",16,-2,,,15,18,18
1,,236[L],[L] Miracle Super Punch,100×8,,,All,9,"{2(2)}×7, 2",16,-2,,,15,18,18
2,,236M,M Miracle Super Punch,50×8,,,All,9,"{2(2)}×7, 2",12,whiff ~ +3,,,15,Launch,18
3,,236[M],[M] Miracle Super Punch,50×16,,,All,9,"{2(2)}×15, 2",12 [16],whiff ~ +3,,,15,18,18
4,,236H,H Miracle Super Punch,50×8,,,All,9,"{2(2)}×7, 2",12,+1,,,15,18,18
5,,236[H],[H] Miracle Super Punch,50×18,,,All,9,"{2(2)}×17, 2",12,+1,,,15,18,18
6,,214L,L Great Special Rolling Kick,"40×7, 600",,,All,10,14 (8) 2,19,-5,10-23 P1,,15,Launch,
7,,214M,M Great Special Rolling Kick,"40×11, 800",U1+,,All,10,22 (8) 2,18,(airborne),10-31 P1,,15,Launch,
8,,214H,H Great Special Rolling Kick,"40×11, 800",U1+,,All,10,56 (8) 2,18,-4 (airborne),10-55 P1,,15,Launch,
9,,j.214L,Air L Great Special Rolling Kick,"40×7, 500",,,All,8,Until Landing (8) 2,19,-5,8-Landing P1,,15,Launch,
10,,j.214M,Air M Great Special Rolling Kick,"40×11, 600",U1+,,All,8,22 (8) 2,18,-4 (airborne),8-29 P1,,15,Launch,
11,,j.214H,Air H Great Special Rolling Kick,"40×11, 600",U1+,,All,8,83 (8) 2,18,-4 (airborne),8-90 P1,,15,Launch,
12,,236S,Vengeful Shout,262×5,,,All,17,25,20+L,-16+L,,,,Launch,
13,,j.236S,Air Vengeful Shout,262×5,,,All,17,25,21,,,,,Launch,
14,,j.214S,DIE DIE Missile Barrage,130×12,,,All,12,"[1(5)] *11, 1",36+5L,,,,,Launch,
15,,214S,Galactic Donuts,600×2,U2,,All,29,1 (29) 1,3,+5,,,,Launch,
0,,Assist A,Galactic Donuts,"450, 315",,,All,48,1(30)1,,+46,,,46,,
1,,Assist B,Miracle Super Punch,"190, 133x5",,,All,26,21,,+40,,,40,,
2,,Assist C,Vengeful Shout,"200, 140×4, 280",,,All,33 [20],,,+30,,P2,30,,
0,,236L+M,L+M Super Ghost Kamikaze Attack,400×6,,,All,9+4,[1(9)] *6,,-30,,,,,
1,,236H+S,H+S Super Ghost Kamikaze Attack,600×4,,,All,,,57 Total,+20 (per Ghost),,,20,Launch,23
2,,214L+M,Charging Ultra Volleyball,3930,,,All,9+3,,,-30 [+34],,,,,
3,,j.214L+M,Air Charging Ultra Volleyball,3930,,,All,9+3,,,,,,,,
