,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,1,,,
1,,5LL,None,700,,,All,9,2,22,-8,,,,,
2,,5LLL,None,600×2,U3+,,All,36,6,21,-11,,,,,
3,,5M,None,700,,,All,13,4,17,-5,,,,,
4,,5H,None,850 / 1000,U1,,All,15,3,27,-12,,,,,
5,,5S,None,300×4,,,All,18-27,,42,-21,,,,,
6,,2L,None,400,,,All,6,3,12,0,,1,,,
7,,2M,None,700,,,Low,11,3,24,-11,,,,,
8,,2H,None,850 / 1000,U1+,,All,14,3,31,-18,f4 Head,,,,
9,,2S,None,300×4,,,All,22-32,,52,-21+landing,,,,,
10,,6M,None,850,,,High,24,6,10,0,,,,,
11,,j.L,None,400,,,High,7,3,,,,,,,
12,,j.M,None,700,,,High,11,4,,,,,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,15,3,,,,,,,
14,,j.S,None,300×4,,,All,18-27,,,,,,,,
15,,j.2H,None,850,U1,,All,11,4,,,f4 Head,,,,
0,,j.2M,Shadow Kick,900,D1,,High,25-33,,,,,,,,
1,,236L,L Demonic Blade,1100,,,All,15,4,24,-5,,,,,
2,,236M,M Demonic Blade,1200,U1+,,All,19,4,24,-5,,,,,
3,,236H,H Demonic Blade,1300,U1+,,All,16,4,24,-5,,,,,
4,,j.236L,Air L Demonic Blade,1100,,,All,15,4,26,-2 if TK,,,,,
5,,j.236M,Air M Demonic Blade,1200,U1+,,All,19,,,-2 if tk,,,,,
6,,j.236H,Air H Demonic Blade,1300,U1+,,All,15,4,26,-2 if tk,,,,,
7,,214L,L Mystical Arm,1200,U1,,Throw,20,4,26,,,,,,
8,,214M,M Mystical Arm,1250,U1,,Throw,26,4,26,,,,,,
9,,214H,H Mystical Arm,1300,U1,,Throw,24,4,26,,,,,,
10,,j.214L,L Hell Gate,350×3,,,All,53,(172) 9,52,,,,,,
11,,j.214M,M Hell Gate,350×3,,,All,53,(232) 9,52,,,,,,
12,,j.214H,H Hell Gate,350×6,,,All,44?,(374) 18,44?,,,,,,
13,,236S,Phantom Shift,,,,,invul frame 4,invul for 13,20,,4-16 All,,,,
14,,214S,Phantom Shift,,,,,invul frame 4,invul for 13,20,,4-16 All,,,,
15,,22S Catch,Dimensional Hole (Catch),,,,,1,28,13,,1-28 Guard Point,,,,
16,,22S Attack,Dimensional Hole (Attack),600,,,All,,,,+30,Until attack finishes,,,,
17,,j.22S Catch,Air Dimensional Hole (Catch),,,,,4,28,13,,1-28 Guard Point,,,,
18,,j.22S Attack,Air Dimensional Hole (Attack),600,,,All,,,,+30,Until attack finishes,,,,
0,,Assist A,Phantom Assault,"250, 3×175",,,All,"36, 46, 56, 66",,,+50,,,+50,,
1,,Assist B,Demonic Blade,800,,,,25,"2,4",,+29,,,+29,,
2,,Assist C,Hellblade Flurry,"450,315,280",,,All,35[20],"5,3",,+55,,,+55,,
0,,236L+M,Rakshasa's Claw,2415,UDV,,All,9+5,,,-18,,,,,
1,,j.236L+M,Air Rakshasa's Claw,2415,UDV,,All,9+4,,,,,,,,
2,,236H+S,Savage Skewer,1995,UDV,,All,9+5,,,-17,,,,,
3,,214L+M,Needle Light Shower,"220×19, 360",UDV,,All,12+3,,,-33,,,,,
4,,j.214L+M,Air Needle Light Shower,"220×19, 360",UDV,,All,12+3,,,,,,,,
