,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,,,-3,,1,,,
1,,5LL,None,180×4,,,All,11,,,-5,,2×4,,,
2,,5LLL,None,1000,U3+,,All,13,,+5L,+12 (-5 on landing),,4,,,
3,,5M,None,180×4,,,All,10,,,-7,,2×4,,,
4,,5H,None,850 / 1000,U1,,All,14,,,-10,,4,,,
5,,5S,None,300×6,,,All,11,X{(9)X}×5,,-5,,,,,
6,,2L,None,400,,,Low,7,,,-4,,1,,,
7,,2M,None,700,,,Low,9,,,-5,,2,,,
8,,2H,None,850 / 1000,U1+,,All,13,,,-15,4- Head,4,,,
9,,6M,None,850,,,High,24,6,4+6L,0,,3,15,18,23
10,,6H,None,850,,,High,27,,,-11,,3,,,
11,,j.L,None,400,,,High,6,,,,,1,,,
12,,j.M,None,500×2,,,High,7,,,,,2×2,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,,,,,3 / 4,,,
14,,j.S,None,400×4,,,All,11,X{(9)X}×3,+5L,,,,,,
15,,j.2H,None,850,U1+,,All,13,,,,,3,,,
0,,236L,L Super Cannonball,900,,,All,18,,,-5,,,,,
1,,236M,M Super Cannonball,900,,,All,18,,,-5,,,,,
2,,236H,H Super Cannonball,900×2,,,All,28,,,+4,,,,,
3,,214L,L Ain't nobody that can stop me!,900,,,Low,14,,,-5,,3,,,
4,,214M,M Ain't nobody that can stop me!,1000,U1+,,Low,20,,,-5,,3,,,
5,,214H,H Ain't nobody that can stop me!,1200,U1+,,Low,17,,,-5,,3,,,
6,,236S,Gigantic Breaker,"30×4, 150, 1100",D1,,All,14,,,-3,,,,,
7,,236[S],Gigantic Breaker (Charged),"30×5~12, 1300",,,All,14,,,-3,,,,,
8,,j.236S,Air Gigantic Breaker,"30×4, 150, 1100",D1,,All,14,,+5L,,,,,,
9,,j.236[S],Air Gigantic Breaker (Charged),"30×5~12, 1300",,,All,14,,+5L,,,,,,
10,,214S,Time to test this power out!,,,,,,,Total 38,,,,,,
11,,j.214S,Air Time to test this power out!,,,,,,,Until L+?,,,,,,
0,,Assist A,Super Cannonball,800,,,All,25,,,+30,,,,,
1,,Assist B,Mighty Kick,250×4,,,All,36,,,+44,,,,,
2,,Assist C,Gigantic Breaker,"30×4, 800, 400",,,All,34 [21],,,+25,,,,,
0,,236L+M,Ultra Cannonball,450×6,UDV,,All,9+4,,,-18,,,,,
1,,j.236L+M,Air Ultra Cannonball,450×6,UDV,,All,11+4,,,,,,,,
2,,236H+S,Gigantic Ray,"280×9, 500",UDV,,All,11+28,,,+50,,,,,
3,,j.236H+S,Gigantic Chaser,2085,UDV,,All,11+4,,,-20,,,,,
4,,214L+M,Gigantic Burst,3952,UDV,,All,21+3 [12+3],,,-46,1- All,,,,
