,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,,11,16,16
1,,5LL,None,700,,,All,10,4,15,-3,,,15,18,18
2,,5LLL,None,700,U3+,,All,14,6,15,-5,,,15,Launch,34
3,,5M,None,"500, 700",,,All,10,7(14)2,19,-5,,,15,18,18
4,,5H,None,850,U1,,All,12,5,20,-9,,,15,Launch,22 /
5,,5S,None,600,,,All,13,,24,-3,,,20,23,25
6,,2L,None,400,,,Low,7,3,13,-4,,,11,16,16
7,,1M,None,500,,,Low,10 [15],5,21,-10,,2,15,Launch,22
8,,2M,None,500,,,Low,17 [15],5,21,-10,,2,15,Launch,22
9,,2H,None,850,U1+,,All,13,3,28,-15,4-15 Head,,15,Launch,22 / 39
10,,2S,None,700,,,All,13,,19+7L,+1,6-32 Airborne,,17,23,25
11,,6M,None,850,,,High,24,6,10,0,,,15,18,23
12,,j.L,None,400,,,High,6,3,20,,,,,,
13,,j.M,None,"500, 700",,,"All, High",10,7(14)2,22,,,,,,
14,,j.H,None,850 / 1000,D1+ [D3+],,High,11,3,21,,,,,,
15,,j.S,None,600,,,All,10,,24+7L,,,,20,23,25
16,,j.2H,None,850,U1+,,All,14,4,25,,,,,,/ 39
0,,236L,L Mystic Ball Attack,1100,,,All,14,4,21,-4,,,,,
1,,236M,M Mystic Ball Attack,"1100, 1100",U1+,,All,17,4(6)2,11,-5 (in air),,,,,
2,,236H,H Mystic Ball Attack,"1100, 600",U1+,,All,16,4(5)2,13,-2 (in air),,,,,
3,,j.236L,Air L Mystic Ball Attack,1100,,,All,13,Until Landing,21,-1 to -5,,,,,
4,,j.236M,Air M Mystic Ball Attack,"1100, 1100",U1+,,All,13,Until Landing (7) 2,11,"-4 to -8 (in air), +3 (2nd hit only)",,,,,
5,,j.236H,Air H Mystic Ball Attack,"1100, 600",U1+,,All,9,Until Landing (6) 5,13,-2 (in air),,,,,
6,,214L,L Mystic Arm Swing,1400,U2,,Airthrow,13,5,24,,4-13 Head,,,,
7,,214M,M Mystic Arm Swing,1500,U1+,,Airthrow,21,8,22,,4-21 Head,,,,
8,,214H,H Mystic Arm Swing,1500,U1+,,Airthrow,13,5,24,,1-13 Head,,,,
9,,236S,Candy Beam,"850[0, 800, 225×3, 1]",U2+,,All,13,,50,-8,,,,,
10,,j.236S,Kamehameha,262×5,,,All,17,25,30,,,,,,
11,,214S,Arm Ball,250×4,,,All,36,14,41 Total,+38 to +52,,,,,
0,,Assist A,Arm Ball,200×4,,,All,58,14,,+58,,,+58,63,
1,,Assist B,Mystic Ball Attack,400×2,,,All,22,,,+30,,,+30,,
2,,Assist C,Kamehameha,"200×5, 400",,,All,33 [20],25,,+30,,,,,
0,,236L+M,Human Extinction Attack,"300, 100×17, 500×11",,,All,,,,?,,,,,
1,,j.236L+M,Pearl Flash,2300,,,All,,,,-19,,,,,
2,,214L+M,Planet Burst,"300, 4000",,,All,,,,-31 [+32],,,,,
3,,j.214L+M,Air Planet Burst,"300, 4000",,,All,,,,-31 [+31],,,,,
