,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,,-3,,,,,
1,,5LL,None,700,,,All,9,5,,-5,,,,,
2,,5LLL,None,1000,U3+,,All,11,4,,-5,,,,,
3,,5M,None,700,,,All,8,6,,-5,,,,,
4,,5H,None,850 / 1000,U1,,All,13,3,,-9,,,,,
5,,5S,None,500×2,,,All,13,,,,,,,,
6,,2L,None,400,,,Low,7,3,,-4,,,,,
7,,2M,None,700,,,Low,10,5,,-4,,,,,
8,,2H,None,850 / 1000,U1+,,All,11,3,17,-5,4- Head,,12,,
9,,2S,None,900,,,All,17,5,,,,,,,
10,,6M,None,850,,,High,24,6,,0,,,,,
11,,j.L,None,400,,,High,6,3,,,,,,,
12,,j.M,None,500×2,,,High,9,3(6)3,,,,,,,
13,,j.H,None,850 / 1000,D1+ [D3+],,High,13,6,,,,,,,
14,,j.S,None,500×2,,,All,12,,,,,,,,
15,,j.2H,None,850,U1+,,All,13,6,,,,,,,
16,,j.2S,None,"300, 900",,,All,15,,,,,,,,
0,,236L,L Afterimage,1200,D1,,High,30,4,,+1,,,,,
1,,236M,M Afterimage,1200,D1,,High,32,4,,+1,,,,,
2,,236H,H Afterimage,1400,D1,,High,32,4,,+3,,,,,
3,,j.236L,Air L Afterimage,1000,D1,,High,23,4,,,,,,,
4,,j.236M,Air M Afterimage,1000,D1,,High,27,4,,,,,,,
5,,j.236H,Air H Afterimage,1200,D1,,High,21,4,,,,,,,
6,,214L,L Senzu Bean,,,,,25,,Total 37,,,,,,
7,,214M,M Senzu Bean,,,,,25,,Total 37,,,,,,
8,,214H,H Senzu Bean,,,,,25,,Total 37+3L,,,,,,
9,,j.214L,Air L Senzu Bean,,,,,27,,Total 51,,,,,,
10,,j.214M,Air M Senzu Bean,,,,,27,,Total 51,,,,,,
11,,j.214H,Air H Senzu Bean,,,,,27,,Total 51,,,,,,
12,,22L,L Stone Throw,100,,,All,33,,Total 53,-5,,,,,
13,,22M,M Stone Throw,100,,,All,33,,Total 53,-5,,,,,
14,,22H,H Stone Throw,100×2,,,All,26,,Total 47,-5,,,,,
15,,j.22L,Air L Stone Throw,100,,,All,29,,Total 51,,,,,,
16,,j.22M,Air M Stone Throw,100,,,All,29,,Total 51,,,,,,
17,,j.22H,Air H Stone Throw,100×2,,,All,27,,Total 50,,,,,,
18,,236S,Kamehameha,250×5,,,All,18-47,24,33,-15,,,,,
19,,j.236S,Air Kamehameha,250×5,,,All,10 after landing,24,33,-15,,,,,
20,,214S,Solar Flare,"0, 1000",D1,,All,11,5,22,-2,4-12 Head,,,,
0,,Assist A Stone,Senzu Bean (Stone),100×2,,,All,18,,,+17,,,,,
1,,Assist A Bean,Senzu Bean (Bean),,,,,72,,,,,,,,
2,,Assist B,Kamehameha,200×5,,,All,35,,,+30,,,15+2×5,,
3,,Assist C,Solar Flare,"0, 1400",,,All,28 [20],,,+24,,,,,
0,,236L+M,Destructo-Disc,2000,UDV,,All,9+5,,,-18,9-15 All,,,,
1,,236L+M > X,Chain Destructo-Disc Barrage,1100×1~4,UDV,,All,,,,,,,,,
2,,214L+M,Scattering Energy Wave,4050,UDV,,All,9+3,,,+35 [+42~],1-21 All,,,,
