,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,Low,6,3,12,-3,,,,,
1,,5LL,None,700,,,All,11,3,,-7,,,,,
2,,5LLL,None,1000,,,All,15,4,,-5,,,,,
3,,2L,None,400,,,All,8,3,10,0,,,,,
4,,5M,None,700,,,Low,11,6,14,-4,,,,,
5,,2M,None,700,,,Low,15,4,22,-7,,,,,
6,,6M,None,850,,,High,24,6,10,0,,,,,
7,,5H,None,850,,,All,15,3,23,-8,,,,,
8,,2H,None,850,,,All,13,4,25,-13,,,,,
9,,5S,None,"450, 800",,,All,"16, 28",,,-6,,,,,
10,,j.L,None,400,,,High,6,3,12,,,,,,
11,,j.M,None,700,,,High,11,3,16,,,,,,
12,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,22,,,,,,
13,,j.2H,None,"650, 650",,,All,19[16],1-8(1-2)2+,,,,,,,
14,,j.S,None,800,,,All,16,1,24+3L,,,,,,
0,,236L,L Arm Break,1200,,,High,24~33,3,,-5,,,,,
1,,236[L],[L] Arm Break,1300,,,High,34~54,3,,+2,,,,,
2,,236M,M Arm Break,"700, 900",,,High,26~33,3(12~21)3,,-5,,,,,
3,,236[M],[M] Arm Break,"700, 1200",,,High,34~54,3(22~51)3,,+2,,,,,
4,,236H,H Arm Break,"800, 1000",,,High,24,3(12~21)3,,-5,,,,,
5,,236[H],[H] Arm Break,"800, 1300",,,High,24,3(22~51)3,,+2,,,,,
6,,214L,L Saibamen,,,,,,,Total 44,,,,,,
7,,214M,M Saibamen,,,,,,,Total 44,,,,,,
8,,214H,H Saibamen,,,,,,,Total 39,,,,,,
9,,Saibamen Claw,Saibamen Claw,700,,,All,,8,,,,,,,
10,,Saibamen Spit,Saibamen Spit,400,,,All,,,,,,,,,
11,,Saibamen Slide,Saibamen Slide,600,,,All,,8,,,,,,,
12,,Saibamen Grab,Saibamen Grab,"0, 1334",,,All,,14,,,,,,,
13,,236S,Blazing Storm,1100,,,All,18,10,,-2,,,,,
14,,j.236S,Air Blazing Storm,1100,,,All,18,10,,,,,,,
15,,214S,Too bad (Counter),"600, 800",,,All,12[25],2[3] (24[32]) 5,,-5,5-24[38] Strike Guard Point,,,,
16,,214S Counter,Too bad (Counter Attack),1000,,,All,,,,,,,,,
0,,Assist A,Blazing Storm,850,,,All,28,10,,+35,,,+35,,
1,,Assist B,Too bad,"450, 420",,,All,25,,,+29,Strike Guard Point,,+29,,
2,,Assist C,Deluxe Bomber,"450×2, 350",,,All,60 [20],,,+33,,,33,,
0,,236L+M,Giant Storm,2300,,,All,10+5,5,,-21,9-20,,,,
1,,214L+M,Break Cannon,4278,,,All,9+3,3,,-24,1-15 Full,,,,
2,,214[L+M],Break Cannon (Hold),780,,,All,12,3,,-24,1-15,,,,
