,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,,11,16,16
1,,5LL,None,700,,,All,9,3,15,-2,,,15,18,18
2,,5LLL,None,1000,U3+,,All,15,3,18,-5,,,15,Launch,34
3,,5M,None,700,,,All,10,3,18,-5,,,15,18,18
4,,5H,None,850 / 1000,U1,,All,15-41,4,21,-9,,,15,Launch,22 /
5,,5S,None,800,U2,,Throw,26 [38],7,17,+5 [+17],,,,,
6,,2L,None,400,,,All,7,4,12,-4,,,11,16,16
7,,2M,None,700,,,Low,10,4,18,-6,,,15,Launch,22
8,,2H,None,850 / 1000,U1+,,All,13,3,31,-18,4-15 Head,,15,Launch,22 / 39
9,,2S,None,"800, 500",U2,,Throw,16 [35],7,17,+5 [+17],4-18 Head,,,,
10,,6M,None,850,,,High,24,6,4+6L,±0,,,15,18,23
11,,6S,None,350×3,,,All,16,11,23,-5,,,,,
12,,3S,None,350×3,,,All,12,11,23,-5,,,,,
13,,j.L,None,400,,,High,6,3,14,,,,11,16,16
14,,j.M,None,500×2,,,High,10,2(5)4,10,,,,15,18,18
15,,j.H,None,750 [1000],[D3+],,High,13,6,20,,,,19,,
16,,j.S,None,800,U2,,Throw,24 [35],7,21,+4 [+18],,,,17,
17,,j.2H,None,850,U1+,,All,11,4,30,,,,,,
0,,236L,L Demon Elbow,900,,,All,30 [17],4,17,-2,,,,,
1,,236[L],[L] Demon Elbow,,,,,,,32 [19],,,,,,
2,,236M,M Demon Elbow,1000,U1+,,All,31~42 [19],6,17,-2,,,,Launch,"DBFZ_Piccolo_DemonElbow.png,DBFZ_Piccolo_DemonElbow2.png"
3,,236[M],[M] Demon Elbow,,,,,,,37 [19],,,,,Launch,
4,,236H,H Demon Elbow,1100,U1+,,All,29~40 [19],4,17,-2,,,,Launch,
5,,236[H],[H] Demon Elbow,,,,,,,32 [19],,,,,,
6,,j.236L,Air L Demon Elbow,900,,,All,30 [15],4,17,,,,,Launch,
7,,j.236[L],Air [L] Demon Elbow,,,,,,,30 [15],,,,,,
8,,j.236M,Air M Demon Elbow,1000,U1+,,All,31~42 [18],6,17,,,,,Launch,
9,,j.236[M],Air [M] Demon Elbow,,,,,,,36-41 [18],,,,,,
10,,j.236H,Air H Demon Elbow,1100,U1+,,All,29~40 [18],4,17,,,,,Launch,
11,,j.236[H],Air [H] Demon Elbow,,,,,,,32 [18],,,,,,
12,,214L,L Demon Slicer,900,,,All,37 [20],7,16,-7 ~ -1,"4-21 Guard, 22-27 All",,,,"DBFZ_Piccolo_DemonSlicer.png,DBFZ_Piccolo_DemonSlicer2.png"
13,,214M,M Demon Slicer,1000,D1,,High,41 [20],5,16,-4 ~ -1,"4-21 Guard, 22-27 All",,,,"DBFZ_Piccolo_DemonSlicer.png,DBFZ_Piccolo_DemonSlicer3.png"
14,,214H,H Demon Slicer,1100,D1,,All,31~36 [20],7,22,-13 ~ -7,"1-15 Guard, 16-21~26 All",,,,
15,,j.214L,Air L Demon Slicer,900,,,All,13,Until L,16,-7 ~ -1,,,,,
16,,j.214M,Air M Demon Slicer,1000,D1,,High,19,Until L,16,-5 ~ -1,,,,,
17,,j.214H,Air H Demon Slicer,1500,D1,,All,13,Until L,16,-7 ~ -1,,,,Launch,
18,,236S,Homing Energy Blast,700,,,All,19,299,Total 45,-6,,,,Launch,
19,,236[S],Homing Energy Blast,,,,All,,,Total,,,,,Launch,
0,,Assist A,Homing Energy Blast,700,,,All,"21, 63",179,Total 79,+25,,,,Launch,
1,,Assist B,Demon Shocker,300×3,,,All,26,,,+28,,,,,
2,,Assist C,Demon Slicer,"800, 400",,,All,45 [20],,,+29,,,,,
0,,236L+M,Special Beam Cannon,250×10 [380×10],UDV,,All,11~121+4,45,33,-17 [-2],,,,Launch,
1,,236H+S,Hellzone Grenade,260×12,UDV,,All,9+17,,Total 41,+65,9-10 All,,,Launch,
2,,214L+M,Light Grenade,450×10,UDV,,All,9+3,,89,-35 [+39],1-23 All,,,Launch,
