,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,90%+1,All,6,3,14,-5,,1,,,
1,,5LL,None,180×4,,100%+1 (Once),All,8,,,-7,,2,,,
2,,5LLL,None,"200×4, 300",U3+,100%+1,All,15,,,-5,,3,,,
3,,5M,None,700,,100%+1,All,11,4,20,-8,,2,,,
4,,5H,None,850 / 1000,U1,100%+1,All,17,4,26,-14,,4,,,
5,,5S,None,700,,90%+1,All,17,6,31,-5,,3,,,
6,,2L,None,400,,90%+1,Low,7,3,13,-4,,1,,,
7,,2M,None,700,,100%+1,Low,12,6,20,-10,,2,,,
8,,2H,None,850 / 1000,U1+,100%+1,All,13,3,29,-16,4-15 Head,4,,,
9,,2S,None,,,,,,,Total 24(+7L),,1-21 Ki Blasts,,,,
10,,6M,None,850,,80%+1,High,24,4,6+6L,±0,,3,15,18,23
11,,6H,None,"0, 850",U1,80%+1,All,37,2,25,-5,26-33 All,3,,,
12,,6S,None,500,,90%+1,All,16,,,-15,,2,,,
13,,6SS,None,700,,90%+1,All,,,,+2,,2,,,
14,,3H,None,700,,100%+1,All,14,3,42,-29,4-16 Head,2,,,
15,,j.L,None,400,,90%+1,High,7,3,12,,,1,,,
16,,j.M,None,700,,90%+1,High,11,4,21,,,2,,,
17,,j.H,None,850 / 1000,D1+ [D3+],90%+1,High,12,6,30,,,3 / 4,,,
18,,j.S,None,500,,90%+1,All,13,,Total 35+12L,,,2,,,
19,,j.2H,None,850,U1,90%+1,All,13,6,21,,,3,,,
20,,j.2S,None,,,,,,,Until L(+7L),,1-21 Ki Blasts,,,,
21,,j.4M,None,850,,90%+1,High,11,6,15,,,2,,,
0,,5H+S,Masterful Leap,,,,,23,,Total 31+12L,,"1-31 Ki Blasts, 4-18 Throw",,,,
1,,2H+S,Masterful Leap,,,,,15,,Total 28,,"1-28 Ki Blasts, 4-18 Throw",,,,
2,,4H+S,Masterful Leap,,,,,19,,Total 38,,"1-38 Ki Blasts, 4-18 Throw",,,,
3,,j.H+S,Reverse Kamehameha,300 [1000] {1100},,90%+1,All,21,18,13+12L,+5 [-8],1-51 Ki Blasts,2 [3],,,
4,,Z Change,Reverse Kamehameha,300 [1000],,90%+1,All,21,,,±0,1-? Ki Blasts,2 [3],,,
0,,j.2M,Turtle Drop,900,D1,80%+1,All,13,Until L,16,-5 ~ -2,,2,,,
1,,236L,L Wise Warrior,"300, 630",,90%+1,All,14,7,27,-5,,3,,,
2,,236M,M Wise Warrior,"300, 900",U1+,90%+1,All,17,7,27,-5,,3,,,
3,,236H,H Wise Warrior,"300, 990",U1+,90%+1,All,11,7,27,-5,,3,,,
4,,j.236L,Air L Wise Warrior,"300, 630",,90%+1,All,14,7,27,-5,,3,,,
5,,j.236M,Air M Wise Warrior,"300, 900",U1+,90%+1,All,16,7,27,-5,,3,,,
6,,j.236H,Air H Wise Warrior,"300, 990",U1+,90%+1,All,11,7,27,-5,,3,,,
7,,214L,L Martial Spirit,"300, 900",,80%+1 (Once),All,17,? (3) 5,20,-5,4-21 Armor (10),3,,,
8,,214M,M Martial Spirit,"300, 950",U1+,80%+1 (Once) / 80%+1×2,All,17,? (3) 5,20,-5,4-21 Armor (10),3,,,
9,,214H,H Martial Spirit,"300, 900×2",U1+,"80%+1×2 (Once), 80%+1",All,10,? (3) ? (4) 5,20,-15,1-14 Armor (10),3,,,
10,,22L,L Jumping Splits,900,,100%+1,All,8,3,18,-5,4-20 Low,3,,,
11,,22M,M Jumping Splits,1000,D1,100%+1,All,8,3,18,-5,4-24 Low,3,,,
12,,22H,H Jumping Splits,1300,D1,100%+1,All,8,3,18,-5,1-24 Low,3,,,
13,,236S,Kamehameha,1000,,90%+1,All,18,17,18,-9,,3,,Launch,
14,,214S,Thunder Shock Surprise,1476,U2+,80%+1,Throw,21,Until Off Screen,48 from last active,,,0,,,
15,,22S,Lullaby Fist,0,U2+,80%+1,Throw,28,3,40,,,0,,Crumple,
0,,Assist A,Kamehameha,800,,90%+2,All,35,,,+32,,3,32,,
1,,Assist B,Martial Spirit,"300, 700",,90%+2 (Once),All,26,,,"+25, +25",26-28f Guardpoint,3,,Launch,
2,,Assist C,Turtle Hermit Flurry,"150×4, 400×2",,90%+2 (Once),All,41 [21],,,+50,,"0×4, 3 / 0×4, 3×2",,,
