,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,1,,,
1,,5LL,None,700,,,All,9,,,-4,,2,,,
2,,5LLL,None,500×2,U3+,,All,15,3,17,-4,1-17 Head,4,,,
3,,5M,None,700,,,All,9,4,17,-5,,2,,,
4,,5H,None,850 / 1000,U1,,All,17,7,20,-11,,4,,,
5,,5S,None,400,,,All,13,6,17,-7,,,,,
6,,2L,None,400,,,All,6,3,12,±0,,1,,,
7,,2M,None,700,,,Low,11,6,19,-9,,2,,,
8,,2H,None,850 / 1000,U1+,,All,13,3,28,-15,4-15 Head,4,,,
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
10,,6H,None,600,,,All,11,4,20,-8,,,,,
11,,6H > 6H,None,500,,,High,20,,,-5,,,,,
12,,6H > 3H,None,600,,,Low,26,,,+2,,,,,
13,,6S,None,,,,,,,Total 52 [Total 46],,,,,,
14,,j.L,None,400,,,High,6,3,12,,,1,,,
15,,j.M,None,700,,,High,9,4,15,,,2,,,
16,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,23,,,3 / 4,,,
17,,j.S,None,400,,,All,13,6,30,,,,,,
18,,j.2H,None,850,U1+,,All,10,,40,,,3,,,
0,,236L,L Lightning Hammer,1000,,,All,13,7,19,-4,4-19 Projectiles,,,,
1,,236M,M Lightning Hammer,"500, 600",U1+ → D1,,All,17,7,19,-4,4-23 Projectiles,,,,
2,,236H,H Lightning Hammer,"500, 700",U1+ → D1,,All,13,7,19,-4,4-19 Projectiles,,,,
3,,j.236L,Air L Lightning Hammer,1000,,,All,13,7,20,,4-19 Projectiles,,,,
4,,j.236M,Air M Lightning Hammer,"500, 600",U1+ → D1,,All,17,7,20,,4-23 Projectiles,,,,
5,,j.236H,Air H Lightning Hammer,"500, 700",U1+ → D1,,All,13,7,20,,4-19 Projectiles,,,,
6,,214L,L Meteor Strike,1000,D1,,High,24,3,15,-2,,,,,
7,,214M,M Meteor Strike,1400,D1,,High,28,3,15,+2,,,,,
8,,214H,H Meteor Strike,1600,D1,,High,24,3,15,+2,,,,,
9,,j.214L,Air L Meteor Strike,1000,D1,,High,20,,12 upon landing,-2,,,,,
10,,j.214M,Air M Meteor Strike,1400,D1,,High,29,,12 upon landing,+2,,,,,
11,,j.214H,Air H Meteor Strike,1600,D1,,High,20,,12 upon landing,+2,,,,,
12,,236S,Bluff Kamehameha,"500, 560",U1+,,Throw,24,3,36,,,,,,
13,,214S,Punisher Guard,870,U1+,,,4,22,20,,4-26 Guard,,,,
14,,j.214S,Air Punisher Guard,870,U1+,,,4,22,20,,4-26 Guard,,,,
15,,22S,Plus Energy of Justice,1200,D1,,All,17,6,45,-34,1-22 All,,,,
0,,Assist A,Finish Sign,,,,All,"2, 42","1, 1",,,,,,,
1,,Assist B,Lightning Hammer,800,,,All,20,7,,+33,,,,,
2,,Assist C,Plus Energy of Justice,"800, 280",,,All,41 [21],6,,+16,,,,,
0,,236L+M,Ultimate Impact,2541,UDV,,All,18+4,,,-21,18-? All,,,,
1,,j.236L+M,Air Ultimate Impact,2541,UDV,,All,18+4,,,-21,18-? All,,,,
2,,214L+M,Ultra Big Bang Kamehameha,4186,UDV,,All,9+3,,,-33,1-? All,,,,
3,,j.214L+M,Air Ultra Big Bang Kamehameha,4186,UDV,,All,9+3,,Until L,,1-? All,,,,
4,,214H+S,x100 Big Bang Kamehameha,540×54,UDV,,All,25+3,,,-51,1-? All,,,,
5,,j.214H+S,Air x100 Big Bang Kamehameha,540×54,UDV,,All,25+3,,Until L,,1-? All,,,,
