,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400×2,,,All,6,3(6)3,14,-3,,,,,
1,,5LL,None,700,,,All,11,3,21,-10,,,,,
2,,5LLL,None,1000,U3+,,High,26,4,26,,,,,,
3,,5M,None,700,,,All,11,3,21,-8,,,,,
4,,5H,None,"850 / 400,600",U1,,All,13-18,3,26,-13,,,,,
5,,5S,None,900,,,All,18,17,33,-24,,,,,
6,,2L,None,500,,,Low,9,6,15,-5,,,,,
7,,2M,None,700,,,Low,12,8,21,-13,,,,,
8,,2H,None,850,U1+,,All,13,6,30,-20,,,,,
9,,2S,None,900,,,All,26,,Total 75+10L,-28,,,,,
10,,6M,None,850,,,High,24,6,10,0,,,,,
11,,j.L,None,400,,,High,6,6,11,,,,,,
12,,j.M,None,400×3,,,High,10,,,,,,,,
13,,j.H,None,850,U1 [D3+],,All,13,,,,,,,,
14,,j.S,None,900,,,All,18,,Total 67+10L,,,,,,
15,,j.2H,None,850,D1,,High,18,,,-5,,,,,
16,,j.2S,None,900,,,All,22,,Total 71+10L,-24,,,,,
0,,236L,L Soul Strike,650,,,All,12,,,-8,,,,,
1,,236M,M Soul Strike,700,,,All,17,,,-8,,,,,
2,,236H,H Soul Strike,"750×2,900 / 750×2,900,400","D1, U1",,"All*2, High",13,,,-5,,,,,
3,,j.236L,Air L Soul Strike,650,,,All,12,,,,,,,,
4,,j.236M,Air M Soul Strike,700,,,All,17,,,,,,,,
5,,j.236H,Air H Soul Strike,"750×2,900 / 750×2,900,400","D1, U1",,"All*2, High",13,,,,,,,,
6,,236X > L,L Soul Strike Follow-up 1,650,,,All,10,,,,,,,,
7,,236X > M,M Soul Strike Follow-up 1,700,,,All,16,,,,,,,,
8,,236X > X > L,L Soul Strike Follow-up 2,850,D1,,High,15,,,-5,,,,,
9,,236X > X > M,M Soul Strike Follow-up 2,900,D1,,High,17,,,-5,,,,,
10,,236X > X > H,H Soul Strike Follow-up 2,"900 / 900,400","D1, U1",,High,12,,,-5,,,,,
11,,214L,L Rising Vortex,"150×3, 600",,,All,9,,,,,,,,
12,,214M,M Rising Vortex,"150×5 / 150×5,1000",U1+,,All,16,,,,,,,,
13,,214H,H Rising Vortex,"1000 / 550,1000",U1+,,All,9,,,-22,,,,,
14,,j.214L,Air L Rising Vortex,"150×3, 600",,,All,9,,,,,,,,
15,,j.214M,Air M Rising Vortex,"150×5 / 150×5,1000",U1+,,All,12,,,,,,,,
16,,j.214H,Air H Rising Vortex,"150×7 / 150×7,1000",U1+,,All,9,,,,,,,,
17,,236S,Multiplex Afterimage,"262×5, 500",D1,,"All*5, High",34,,,-5,,,,,
18,,236[S],Multiplex Afterimage (Feint),,,,,,,Total 45,,,,,,
19,,214S,Punisher Drive,"180×5, 1188",U1,,Throw,25,,,,,,,,
0,,Assist A,Super Dash Kick,800,,,All,31,,,+29,,,+29,,
1,,Assist B,Rising Vortex,,,,,26,,,+19 ~ +26,,,21,,
2,,Assist C,Galick Gun,,,,,45,,,+31,,,31,,
0,,236L+M,God Punisher,2018,UDV,,All,10+4,,,-24,,,,,
1,,236L+M > X,Stardust Breaker,1214,UDV,,,,,,,,,,,
2,,j.236L+M,Stardust Fall,2380,UDV,,All,9+4,,,,,,,,
3,,236H+S,Big Bang Kamehameha,"285×9, 307",UDV,,All,10+4,,,-33,,,,,
4,,j.236H+S,Air Big Bang Kamehameha,"285×9, 307",UDV,,All,10+4,,,,,,,,
5,,214L+M,Meteor Explosion,4354,UDV,,All,10+3,,,-29,,,,,
6,,214L+M > X,Ultimate Kamehameha,2000,UDV,,,,,,,,,,,
