,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,,11,16,16
1,,5LL,None,700,,,All,8,3,17,-4,,,15,18,18
2,,5LLL,None,1000,U3+,,All,12,3,17,-4,,,15,Launch,34
3,,2L,None,400,,,Low,7,3,13,-4,,,11,16,16
4,,5M,None,700,,,All,9,6,15,-5,,,15,18,18
5,,2M,None,700,,,Low,10,4,18,-5,,,15,Launch,23
6,,6M,None,850,,,High,24,6,4+6 After landing,0,,,15,18,23
7,,5H,None,850,U1,,All,14,4,22,-10,,,15,Launch,23 / 39
8,,2H,None,850,U1+,,All,13,3,30,-17,,,15,Launch,23 / 39
9,,5S,None,500,,,All,13,,25,-5,,,21,Launch,26
10,,2S,None,500,,,All,13,,25,-3,,,21,Launch,26
11,,j.L,None,400,,,High,6,3,,,,,11,16,16
12,,j.M,None,700,,,High,10,4,14,,,,15,18,18
13,,j.H,None,850 [1000],D1+,,High,13,5,,,,,21,24,
14,,j.2H,None,850,D1+,,High,12,3,12,+3,,,17,Launch,23 / 39
15,,j.S,None,500,,,All,12,,,,,,21,Launch,26
16,,j.2S,None,500,,,All,10,,,,,,21,Launch,26
0,,236L,L Super Dash Kick,500,,,All,12,3,21,-8,,,15,18,18
1,,236M,M Super Dash Kick,500,,,All,15,3,21 (in air),+2 (-8 if landed),,,15,18,18
2,,236H,H Super Dash Kick,600,,,All,12-18,3,21,-5,,,,,
3,,j.236L,Air L Super Dash Kick,500,,,All,12,3,21,-8,,,15,18,18
4,,j.236M,Air M Super Dash Kick,500,,,All,15,3,21,-8,,,15,18,18
5,,j.236H,Air M Super Dash Kick,600,,,All,12-18,3,21,-5,,,,,
6,,236X > L,L Super Dash Kick Follow-up 1,650 [975],,,All,10,3,13+3L,-8,,,,,
7,,236X > M,M Super Dash Kick Follow-up 1,220×3 [286×3],,,All,18,3 (7) 3 (7) 3,12+3L,-8,,,,,
8,,236X > H,H Super Dash Kick Follow-up 1,700 [],,,All,10,3,17,-5,,,,,
9,,236X > X > L,L Super Dash Kick Follow-up 2,650 [975] {},,,All,13,6,19,-4,,,,,
10,,236X > X > M,M Super Dash Kick Follow-up 2,700 [1050] {1200},U1+,,All,18,6,13,-5 (in air),,,,,
11,,236X > X > H,H Super Dash Kick Follow-up 2,"200×5 [200×4, 1050]{260×4,1170}",U1+,,All,13,8,15,-4,,,,,
12,,214L,"L On a scale of one to ten, I'll give you a three!",1000,D1,,Throw,23,3,21+3L,,4-31 P1,,,,
13,,214M,"M On a scale of one to ten, I'll give you a three!",1000,D1,,Throw,24,8,23 (in air),,4-37 P1,,,,
14,,214H,"H On a scale of one to ten, I'll give you a three!",1000 [500],D1 [U1],,Throw,20,8,20+3L,,1-31 P1,,,,
15,,j.214L,"Air L On a scale of one to ten, I'll give you a three!",1000,D1,,Throw,20,6,,,4-31 P1,,,,
16,,j.214M,"Air M On a scale of one to ten, I'll give you a three!",1000,D1,,Throw,21,8,,,4-32 P1,,,,
17,,j.214H,"Air H On a scale of one to ten, I'll give you a three!",1000 [500],D1 [U1],,Throw,18,8,,,1-31 P1,,,,
18,,236S,Big Bang Attack,"300, 1400",,,All,9,"27, 1",31,+3,,,35,,
19,,j.236S,Air Big Bang Attack,"300, 1400",,,All,9,"27, 1",31,+3,,,35,,
0,,Assist A,Big Bang Attack,"100, 1000",,,All,"40, 60","20-27, 15",137-144,"+33~49, +24 (1st hit only); +45 (2nd hit only)",,,"33~49, 24 (1st hit only); 45 (2nd hit only)",Launch,"47f - 66f, 46f (ball only)"
1,,Assist B,Infinity Breaker,800,,,All,20,5,,+29,,,+29,,
2,,Assist C,Super Dash Kick,"450, 450, 280",,,All,35 [20],,,+55,,,55,,
0,,236L+M,Niagara Pummel,2230,UDV,,All,8+7,,,-14,8-24 Full,,,Launch,
1,,236[L+M],Niagara Pummel (Hold),1100,U1,,All,8+7,,,-14,8-24 Full,,,Launch,
2,,236H+S,Galick Gun,280×10,UDV,,All,7+5,,,-21,,,,Launch,
3,,214L+M,Final Flash,220×20,UDV,,All,12+3,,,-34,1- All,,,Launch,
4,,j.214L+M,Air Final Flash,220×20,UDV,,All,12+3,,,,1- All,,,Launch,
5,,214L+M > X,Final Flash Attack,2200,UDV,,All,,,,,,,-,Launch,
