,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,120×4,,,All,7,2(3)2(3)2(8)2,19,-5,,,,,
1,,5LL,None,700,,,All,10,3,18,-5,,,,,
2,,5LLL,None,1000,U3+,,Throw,9,1,30,,,,,,
3,,5M,None,700,,,All,9,6,20,-10,,,10,,
4,,5H,None,850,U1,,All,14,4,21,-9,,,,,
5,,5S,None,700,,,All,9,3,22,-4,,,,,
6,,6S,None,700,,,All,14,3,22,-4,,,,,
7,,2L,None,500,,,All,20,3,23,-5,5-19 Low,,,,
8,,2M,None,700,,,Low,15,6,20,-10,,,,,
9,,2H,None,850,U1+,,All,16,3,35,-22,4-18 Head,,,,
10,,2S,None,500 / 500×2,U1,,All,18,5,21,-5,,,,,
11,,6M,None,850,,,High,24,6,10,0,,,,,
12,,j.L,None,400,,,High,6,3,,,,,,,
13,,j.M,None,700,,,High,10,3,,,,,,,
14,,j.H,None,750 [1000],[D3+],,High,13,4,,,,,,,
15,,j.S,None,500 / 500×2,U1,,All,15,5,,,,,,,
16,,j.2H,None,850,U1+,,All,15,5,,,,,,,
0,,236L,L Spiral Heel Shot,"130,600 / 130×3,600",,,All,11,3(12)4,16,-5,,,,,
1,,236M,M Spiral Heel Shot,"130,600 / 130×5,600",U1+,,All,16,3(12)4,16,-5,,,,,
2,,236H,H Spiral Heel Shot,"130,700 / 130×7,600",U1+,,All,11,3(12)4,16,-5,,,,,
3,,j.236L,Air L Spiral Heel Shot,"130,600 / 130×3,600",,,All,11,3(12)4,17,,,,,,
4,,j.236M,Air M Spiral Heel Shot,"130,600 / 130×5,600",U1+,,All,16,3(12)4,18,,,,,,
5,,j.236H,Air H Spiral Heel Shot,"130,700 / 130×7,600",U1+,,All,11,3(12)4,17,,,,,,
6,,214L,L Atomic Buster,1100,,,Throw,13,7,21 + 3 After L,,4-13 Head,,,,
7,,214M,M Atomic Buster,1200,D2,,Throw,19,7,21 + 3 After L,,4-19 Head,,,,
8,,214H,H Atomic Buster,1500,D2,,Throw,13,7,21 + 3 After L,,1-13 Head,,,,
9,,j.214L,Air L Atomic Buster,1100,,,Throw,13,7,21 + 3 After L,,4-13 Head,,,,
10,,j.214M,Air M Atomic Buster,1200,D2,,Throw,19,7,21 + 3 After L,,4-19 Head,,,,
11,,j.214H,Air H Atomic Buster,1500,D2,,Throw,10,7,21 + 3 After L,,1-13 Head,,,,
12,,236S,Split Finger Shot,300×5,,,All,23,,,,,,,,
13,,j.236S,Air Split Finger Shot,300×5,,,All,18,,,,,,,,
14,,214S Catch,Barrier (Catch),,,,,4,34,Total 54,,4-37 Non throw/Super,,,,
15,,214S Attack,Barrier (Attack),"0, 1500",U3+,,Throw,,,,,,,,,
0,,Assist A,Split Finger Shot,300×5,,,All,26,,,+23,,,+23,,
1,,Assist B,Spiral Heel Shot,,,,,30,,,+42,,,+42,,
2,,Assist C,Spirit Sword,,,,,45,,,,,,,,
0,,236L+M,Spirit Excalibur,"200×4, 2300",UDV,,All,10+4,,,-20,,,,,
1,,j.236L+M,Omega Finishing Blow,"1000, 1100 [1500]",UDV,,All,10+9,,,,,,,,
2,,214L+M,Final Kamehameha,"220×19, 360",UDV,,All,9+3,,,-33,,,,,
3,,j.214L+M,Air Final Kamehameha,"220×19, 360",UDV,,All,9+3,,Till L,,,,,,
4,,214L+M > X,Final Kamehameha Follow-up,"300, 1200",,,,,,,,,,,,
