,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,,,-8,,1,,,
1,,5LL,None,700,,,All,10,,,-3,,2,,,
2,,5LLL,None,400×2,U3+,,Throw,11,,,,,4,,,
3,,5M,None,700,,,All,17,,,-1,,2,,,
4,,5H,None,"850 / 400, 600",U1,,All,14,,,-10,,4,,,
5,,5S,None,250×3,,,All,13,,29,-3,,,20 (each ki blast) [32],,
6,,2L,None,400,,,Low,11 [7],,,-4,,1,,,
7,,2M,None,700,,,Low,13,,,-7,,2,,,
8,,2H,None,850 / 1000,U1+,,All,13,,,-17,4-? Head,4,,,
9,,2S,None,400×5,,,All,15,,Total 38,+9,,,,,
10,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
11,,6H,None,"400, 150×7, 400",,,All,20,,,-10,,,,,
12,,6S,None,"300, 250",,,All,20,,Total 43,-3,,,,,
13,,j.L,None,400,,,High,6,,,,,1,,,
14,,j.M,None,700,,,High,11,4,,,,2,,,
15,,j.H,None,750 [1000],[D3+],,High,13,,,,,3 / 4,,,
16,,j.S,None,250×3,,,All,13,,Total 48+5L,,,,,,
17,,j.2H,None,850,U1,,All,12,,,,,3,,,
0,,j.2L,Interceptor Kick,"400, 600",D1,,All,15,,,-5,,,,,
1,,236L,L Revenge Driver,"200, 600 / 0, 900",U1+,,All,13,,,-5,,,,,
2,,236M,M Revenge Driver,"200, 700 / 0, 990",U1+,,All,18,,,-5,,,,,
3,,236H,H Revenge Driver,"600, 700 / 0, 1080",U1+,,All,13,,,-5,,,,,
4,,j.236L,Air L Revenge Driver,"200, 600 / 0, 900",U1+,,All,13,,,-5,,,,,
5,,j.236M,Air M Revenge Driver,"200, 700 / 0, 990",U1+,,All,18,,,-5,,,,,
6,,j.236H,Air H Revenge Driver,"600, 700 / 0, 1080",U1+,,All,13,,,-5,,,,,
7,,214L,L I'm going to enjoy this!,"500, 1000",,,Throw,13,,,,4-14 Head,,,,
8,,214M,M I'm going to enjoy this!,"850, 800",D1,,Throw,15,,,,4-16 Head,,,,
9,,214H,H I'm going to enjoy this!,"1375, 800",D1,,Throw,13,,,,1-14 Head,,,,
10,,j.214L,Air L I'm going to enjoy this!,"500, 1000",,,Throw,13,,,,,,,,
11,,j.214M,Air M I'm going to enjoy this!,"850, 800",D1,,Throw,15,,,,,,,,
12,,j.214H,Air H I'm going to enjoy this!,"1375, 800",D1,,Throw,13,,,,,,,,
13,,22X,Parasite Takeover,,,,,,,,,projectiles,,,,
14,,j.22X,Air Parasite Takeover,,,,,,,,,projectiles,,,,
15,,236S,Revenge Final Flash,270×5,,,All,28,,,,,,,,
16,,j.236S,Air Revenge Final Flash,270×5,,,All,20,,,,,,,,
17,,214S,Dark Springshot,"80×5, 250×2",,,All,8,,,,4-10 Head,,,,
18,,j.214S,Air Dark Springshot,"80×5, 250×2",,,All,8,,,,4-10 Head,,,,
0,,Assist A,Revenge Blast,300×3,,,All,20,,,32,,,,,
1,,Assist B,Revenge Driver,"100, 630",,,All,50,,,38,,,,,
2,,Assist C,Revenge Final Flash,"200×5, 280",,,All,36,,,30,,,,,
0,,236L+M,Full-Power Energy Wave,2296,UDV,,All,9+4 [4+1],,,-22,,,,,
1,,j.236L+M,Air Full-Power Energy Wave,2296,UDV,,All,9+4 [4+1],,,,,,,,
2,,214L+M,Revenge Death Ball,"1200, 10*N, 3000",UDV,,All,19+1 [4+1],,,-45,1-? All,,,,
3,,j.214L+M,Air Revenge Death Ball,"1200, 10*N, 3000",UDV,,All,19+1 [4+1],,,-45,1-? All,,,,
4,,214H+S,Great Ape Assault,4571 [4721],UDV,,All,18,8,36,-29 [+30],1-22 All,,7,,
