,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit,image
0,,5L,None,400,,,All,6,3,12,-3,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083975141392384/DBFZ_TeenGohan_5L.png
1,,5LL,None,700,,,All,9,3,17+10L,-4,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083975661502514/DBFZ_TeenGohan_5LL.png
2,,5LLL,None,1000,U3+,,All,13,4,Until L+3,-5,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083976026394644/DBFZ_TeenGohan_5LLL.png
3,,5M,None,700,,,All,9,3,17,-3,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083976403898368/DBFZ_TeenGohan_5M.png
4,,5H,None,850,U1,,All,15,6,18,-8,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083974826835998/DBFZ_TeenGohan_5H.png
5,,5S,None,300ÁE4,,,All,11,,25,-4,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083972519968858/DBFZ_TeenGohan_5S.png
6,,2L,None,400,,,Low,7,3,13,-4,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083973262356561/DBFZ_TeenGohan_2L.png
7,,2M,None,700,,,Low,11,12,12,-8,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083973925048320/DBFZ_TeenGohan_2M.png
8,,2H,None,850,U1+,,All,15,3,22+8L,-17,4-17 Head,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083972889055294/DBFZ_TeenGohan_2H.png
9,,2S,None,"600, 700",,,All,32,,20+6L,+24 [+12],,,24 [12],,,https://cdn.discordapp.com/attachments/1006083879981027389/1006083974411595836/DBFZ_TeenGohan_2S.png
10,,6M,None,850,,,High,24,6,4+6L,±0,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006084050794066061/DBFZ_TeenGohan_6M.png
11,,j.L,None,400,,,High,6,3,,,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006084101956173916/DBFZ_TeenGohan_jL.png
12,,j.M,None,700,,,High,9,3,,,,,,,,https://cdn.discordapp.com/attachments/1006083879981027389/1006084102258167938/DBFZ_TeenGohan_jM.png
