,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,,,,
1,,5LL,None,500×2,,,All,"9,7","3,3",17,-4,,,,,
2,,5LLL,None,"100×8, 250",U3+,,All,13,"[1 (1)]*8, 1",19,-4,,,,,
3,,5M,None,700,,,All,9,3,17,-4,,,,,
4,,5H,None,850 /1000,U1,,All,13,4,24,-12,,,,,
5,,5S,None,750,,,All,15,,26,-5,,,20,23,25
6,,2L,None,400,,,Low,7,3,13,-4,,,,,
7,,2M,None,700,,,Low,10,3,20,-7,,,,,
8,,2H,None,850 / 1000,U1+,,All,12,3,28,-15,,,,,
9,,6M,None,850,,,All,24,6,10,0,,,,,
10,,j.L,None,300×2,,,High [All],"6,3","2,2",15,,,,,,
11,,j.M,None,700,,,High,9,5,17,,,,,,
12,,j.H,None,850 / 1000,D1+ [D3+],,High,12,4,21,,,,,,
13,,j.S,None,750,,,All,15,,27,,,,20,23,25
14,,j.2H,None,850,U1+,,All,12,3,19,,,,,,
0,,236L,L Volleyball Fist,700,,,Low,11,8,20,-5,,,22,Launch,
1,,236M,M Volleyball Fist,700,,,Low,21,12,20,-5,"4-30 Guard, 1-30 ki blast",,22,Launch,
2,,236H,H Volleyball Fist,1800,D2,,Throw,24,1,29,-5,4-28 guard,,,Launch,
3,,236X > L,L Volleyball Fist Follow-up 1,800,,,,12,,,,,,,Launch,
4,,236X > M,M Volleyball Fist Follow-up 1,800,,,,12,,,,,,,Launch,
5,,236X > H,H Volleyball Fist Follow-up 1,1200,U1+,,,12,,,,,,,,
6,,236X > X > L,L Volleyball Fist Follow-up 2,900 [1080],,,,31,,,,,,,Launch,
7,,236X > X > M,M Volleyball Fist Follow-up 2,900 [1080],,,,31,,,,,,,Launch,
8,,236X > X > H,H Volleyball Fist Follow-up 2,1800 [1980],D1,,,35,,,,,,,Launch,
9,,j.236L,Air L Volleyball Fist,1000,,,High,15,3,18,,,,15,Launch,
10,,j.236M,Air M Volleyball Fist,1000,D1,,High,20,3,18,,4-24 guard,,15,Launch,
11,,j.236H,Air H Volleyball Fist,1300,D1,,High,17,3,18,,4-14 guard,,15,Launch,
12,,214L,L Crane Strike,1300,D1,,High,24,2,24,-2,,,,Launch,
13,,214M,M Crane Strike,1400,D1,,High,26,2,24,-2,,,,Launch,
14,,214H,H Crane Strike,1500,D1,,High,24,2,25,-2,,,,Launch,
15,,j.214L,Air L Crane Strike,1200,D1,,High,20,Until Landing,24,-2,,,,Launch,
16,,j.214M,Air M Crane Strike,1300,D1,,High,24,Until Landing,24,-2,,,,Launch,
17,,j.214H,Air H Crane Strike,1400,D1,,High,20,Until Landing,24,-2,,,,Launch,
18,,236S,Dodon Ray,900,,,All,19,24,25,-5,,,,Launch,
19,,j.236S,Air Dodon Ray,900,,,All,18,24,31,-5,,,,Launch,
20,,214S,Telekinesis,0,,,All,44,3,11,23 [42 on hit],,,,,
21,,214S Fail,Telekinesis (Fail),,,,,,,83,,,,,,
0,,Assist A,Dodon Ray,800,,,All,30,24,,+20,,,19,Launch,34
1,,Assist B,Telekinesis,0,,,,41/61,,,+40,,,40,,
2,,Assist C,Volleyball Fist,1030,,,all,35 [20],,,+55,,,,,
0,,236L+M,Tri-Beam,2400,,,All,13+4,3,38,-20,13-25,,,,
1,,j.236L+M,Air Tri-Beam,2400,,,All,13+4,3,38,-20,13-25,,,,
2,,236[L+M],Tri-Beam (Charged),1699×2,,,All,,,,,,,,,
3,,j.236[L+M],Air Tri-Beam (Charged),1699×2,,,All,,,,,,,,,
4,,214L+M,Neo Tri-Beam,3600,,,All,17+3,3,85,-42 [+29],1-68,,,,
5,,j.214L+M,Neo Tri-Beam,3600,,,All,17+3,3,85,-42 [+29],1-68,,,,
6,,214L+M > X,Neo Tri-Beam (Additional Hits),1000,,,All,35,3,85,-42 [+29],,,,,
7,,214H+S,"Farewell, Tien...",3600,,,Throw,9+1,25,40,+44,1-14,,,,
