,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,14,-5,,1,11,16,16
1,,5LL,None,700,,,All,11,3,20,-7,,2,15,18,18
2,,5LLL,None,1000,U3+,,All,13,6,21,-7,13-18 All,3 / 4,15,Launch,30
3,,5M,None,700,,,All,9,3,22,-9,,2,15,18,18
4,,5H,None,850 / 1000,U1,,All,13,2,31,-17,13-16 Ki Blasts,4,15,Launch,22 / 39 + WSplat
5,,5S,None,600,,,All,15,,Total 59,-5,,,15,Launch,20
6,,2L,None,400,,,All,6,3,9,±0,,1,11,16,16
7,,2M,None,700,,,Low,12,9,17,-10,,2,15,Launch,22
8,,2H,None,850 / 1000,U1+,,All,15,2,32,-18,"4-16 Head, 15-16 Ki Blasts",4,15,Launch,22 / 39
9,,6M,None,850,,,High,24,6,4+6L,±0,24-29 Ki Blasts,3,15,18,23
10,,j.L,None,400,,,High,6,3,12,,,1,11,16,16
11,,j.M,None,700,,,High,10,5,17,,,2,15,18,18
12,,j.H,None,850 / 1000,D1+ [D3+],,High,13,3,29,,13-17 Ki Blasts,3 / 4,15,20,60 / 59 + Slide 34 [34 + WBounce]
13,,j.S,None,600,,,All,16,,Total 50,,,,15,Launch,20
14,,j.2H,None,850,U1+,,All,13,3,24,,,3,15,Launch,20 / 39
0,,236L,L Shining Slash,1100,D1,,High,26,3,11+4L,-5,,3,15,Launch,80 / 79 + Slide 34
1,,236M,M Shining Slash,1240,D1,,High,32,3,6+4L,+2,,3,15,Launch,80 / 79 + Slide 39
2,,236H,H Shining Slash,1650,D1,,High,24,3,11+4L,-5,,3,15,Launch,80 / 79 + Slide 44
3,,j.236L,Air L Shining Slash,1000,D1,,High,22,3,17,,,3,15,Launch,80 / 79 + Slide 34
4,,j.236M,Air M Shining Slash,1140,D1,,High,26~Until L,3,17,+2,,3,15,Launch,80 / 79 + Slide 39
5,,j.236H,Air H Shining Slash,1350,D1,,High,20,3,17,,,3,15,Launch,80 / 79 + Slide 44
6,,214L,L Cyclone Jump,,,,,14,21,3+6L,,,,,,
7,,214M,M Cyclone Jump,,,,,14,21,3+6L,,,,,,
8,,214H,H Cyclone Jump,,,,,11,40,4,,,,,,
9,,j.214L,Air L Cyclone Jump,,,,,14,21,4+6L,,,,,,
10,,j.214M,Air M Cyclone Jump,,,,,14,21,4+6L,,,,,,
11,,j.214H,Air H Cyclone Jump,,,,,11,40,4,,,,,,
12,,214X > S,Cyclone Buster,600 [1000],,,All,10,,Total 48+6L,,,,15,Launch,26+3
13,,236S,Masenko,262×5,,,All,18,25,21,-16,,,15+2×5,Launch,25+2 + WSplat*5
14,,214S,Change the Future,900,U1+,,All,19,"1, 12",8,-5,1-20 Ki Blasts,3,"15, 10+4",Launch,"20, 20+4 / 59 + CSplat"
15,,214[S],Change the Future (Feint),,,,,,,Total 26,,1-10 Ki Blasts,,,,
0,,Assist A,Change the Future,800,,,All,31,12,61,+14,17-36 Ki Blasts,,10+4,Launch,30+10
1,,Assist B,Masenko,200×5,,,,34,,,+30,,,15+2×5,Launch,25+2 + WSplat*5
2,,Assist C,Flurry Slash,"450×2, 400",,,All,35 [20],4(8)2(17)2,,+55,,,"15+8, 15+15","20+13, Launch / 20+13, Launch","20+13, 35+20 / 20+13, 35+20, +16"
0,,236L+M,Burning Attack,2200,UDV,,All,9+4,,Total 63,-27,9-18 All,,15+15,Launch,40+15
1,,236L+M > X,Burning Attack Follow-up,"640, 120×16, 600",UDV,,High,,,16+L,-16,,,,,
2,,214L+M,Heat Dome Attack,4863,UDV,,Throw,9+3,1,37,Throw [+28],1-14 All,,,Launch,Down
