,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,7,6,19,-9,,3,,,
1,,5LL,None,700,,,All,14,4,17,-5,4-17 Low,3,,,
2,,5LLL,None,"300, 800",U3+,,Throw,11,1,20,,,4,,,
3,,5M,None,"700, 400",,,"All, Low",10,5(10)4,17,-5,,2,,,
4,,5H,None,"850 / 300,700",U1,,All,15,4,26,-13,,4,,,
5,,5S,None,"600, 100×3",,,All,21,5,26,-5,,3,,,
6,,2L,None,400,,,Low,7,3,13,-4,,1,,,
7,,2M,None,700,,,Low,13,4,19,-7,,2,,,
8,,2H,None,"400×2 / 400,850",U1+,,All,13,4(16)2,21,-16,4-16 Head,4,,,
9,,2S,None,800,,,All,21,5,30,-9,,3,,,-9
10,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
11,,6H Catch,None,,,,,,,Total 56,,"4-33 Non-throw, non-Super",,,,
12,,6H Move,None,,,,,,,Total 4+9[Total 4+4],,1-15 All[1-10 All],,,,
13,,6S,None,"200×2, 750×2",,,All,12,"8,13(14)X",Total 68 ,+2,4-49 Ki Blasts,"2×2, 3×3",,,
14,,j.L,None,400,,,High,6,3,12,,,1,,,
15,,j.M,None,700,,,High,11,4,18,,,2,,,
16,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,16,,,3 / 4,,,
17,,j.S,None,"600, 100×3",,,All,17,5,32+10L,,,3,,,
18,,j.2H,None,850,U1+,,All,13,4,24,,,3,,,
0,,236L,L Godly Display,1064,U1+,,All,16,2,16,-2,16-19 All,3,,,
1,,236M,M Godly Display,1280,U1+,,All,28,1,21,-2,28-35 All,3,,,
2,,236H,H Godly Display,1496,U1+,,All,16,1,17,-2,16-19 All,3,,,
3,,j.236L,L Autonomous Fist,820,,,All,11,3×7,15(+10L),,,3,,,
4,,j.236M,M Autonomous Fist,980,D1,,All,15,3×7,15(+10L),,,3,,,
5,,j.236H,H Autonomous Fist,1540,D1,,All,11,3×7,15(+10L),,,3,,,
6,,214[L],L Unencumbered Mind,,,,,,,Total 59,,4-52 Projectiles,,,,
7,,214[M],M Unencumbered Mind,,,,,,,Total 99,,4-92 Projectiles,,,,
8,,214[H],H Unencumbered Mind,,,,,,,Total 93,,"4-18 All, 19-86 Projectiles",,,,
9,,214L,Godly Strike,400 / 1000,D1,,All,31,5,23(+3L),+3,4-19 Projectiles,3,,,
10,,214M,Transcendence,1200,U2+,,Throw,31,1,31,,4-25 Projectiles,3,,,
11,,214H,Embodied Light,1200,U1+,,All,18,3,29+10L,-5,4-20 All,3,,,
12,,214[X] > L,Godly Strike,400 / 1000,D1,,All,19,5,23(+3L),+3,,3,,,
13,,214[X] > M,Transcendence,1200,U2+,,Throw,27,1,31,,,3,,,
14,,214[X] > H,Embodied Light,1200,U1+,,All,10 [8],3,29+10L,-5,1-12 [1-10] All,3,,,
15,,j.214L,Air Godly Strike,400 / 1000,D1,,All,28 [21~34],5,23(+3L),+3,,3,,,
16,,j.214M,Air Transcendence,1200,U2+,,Throw,Until L+9,1,31,,,3,,,
17,,j.214H,Air Embodied Light,1200,U1+,,All,9,3,41+10L,,4-11 All,3,,,
18,,236S,Kamehameha,262×5,,,All,26,,,-18,,3,,,
19,,214[X] > S,Kamehameha,262×5,,,All,24,,,-5,1-48 Projectiles,3,,,
20,,j.236S,Air Kamehameha,262×5,,,All,26,,,,,3,,,
21,,22S,Rising Heat,"400, 700",,,All,12,"14, X",Total 77,-31,1-29 Head,3,,,
22,,Recovery > [L+M],Unrestrained Will,1000,D1,,All,30,5,50(+15L),-30,1-30 All,3,,,
0,,Assist A,Rising Heat,"400, 600",,,All,26,,,+25,Head,3,,,
1,,Assist B,Kamehameha,200×5,,,All,35,,,+30,,3,+30,,
2,,Assist C,Unrestrained Will,"800, 400",,,All,51 [21],,,+25,Full,3,,,
0,,236L+M,Accelerating Battle Spirit,250×10,UDV,,All,19+4 [6+4],,,-55,19- All,4,,,
1,,j.236L+M,Air Accelerating Battle Spirit,250×10,UDV,,All,19+4 [6+4],,,-57,,4,,,
2,,236L+M > X,Unpolished Instinct,809,UDV,,All,,,,,,,,,
3,,236H+S,Guiding Impulse,2659,,,Throw,,,Total 70,,"1-45 Non-throw, non-Super",,,,
4,,j.236H+S,Air Guiding Impulse,2659,,,Throw,,,Until L,,"1-45 Non-throw, non-Super",,,,
5,,214L+M,Silver Dragon Flash,4359,UDV,,All,9+3,,,-25,1-15 All,,,,
6,,j.214L+M,Air Silver Dragon Flash,4359,UDV,,All,9+3,,Until L,,1-15 All,,,,
