,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,7,3,12,-3,,,11,16,16
1,,5LL,None,700,,,All,9,4,16,-4,,,15,18,18
2,,5LLL,None,"80×4, 1000",U3+,,All,15,"[1 (5)]*4, 1",20,-5,,,15,Launch,34
3,,5M,None,700,,,All,18,2,14,0,,,15,18,18
4,,5H,None,850/1000,U1,,All,31,8,18,+4,,,15,Launch,23 / 40
5,,2L,None,400,,,All,6,3,9,0,,,11,16,16
6,,2M,None,700,,,All,10,3,18,-5,,,15,Launch,23
7,,2H,None,"700×2 / 700,850",U1+,,All,13,2 (8) 6,23,"-24 (1st hit), -13 (2nd hit)",4- Head,,15,Launch,23 / 40
8,,5S,None,600,,,All,14,,19,+2,,,21,Launch,26
9,,2S,None,600,,,All,19,,21f (10f in air cancel),,,,21,Launch,26
10,,6M,None,850,,,High,24,6,4+6 After landing,0,,,16,19,23
11,,j.L,None,400,,,High,6,3,,,,,11,16,16
12,,j.M,None,700,,,High,9,4,,,,,15,18,18
13,,j.H,None,850 [1000],[D3+],,High,15,7,,,,,,,
14,,j.S,None,850,,,High,13,,19,+2,,,21,Launch,26
15,,j.2H,None,850,,,All,12,Until Landing,20L,,,,,,
0,,236L,Wolf Fang Fist,220×5,,,All,11,"[1 (4)]*4, 1",20,-5,,,15,18,18
1,,236M,Reverse Wolf Fang Fist,"400×2, 220×3",,,All,"32f (sideswap), 25f (no sideswap)","[1 (4)]*4, 1",20,-5,,,15,18,18
2,,236X > 5L,L Wolf Fang Fist: Pack Attack,220×7,,,All,4,"[1 (3)]*6, 1",20,-5,,,15,18,18
3,,236X > 5M,M Wolf Fang Fist: Pack Attack,220×8,,,All,16,"[1 (3)]*7, 1",20,-5,,,15,18,18
4,,236X > 6L,L Wolf Fang Fist: Finisher,1200,,,All,9,3,18,-5,,,,,
5,,236X > 6M,M Wolf Fang Fist: Finisher,1500,D1,,All,14,3,25,-12,,,,,
6,,236X > H,Wolf Fang Fist: Flash,1200,U1,,All,7,10,30,-5,,,,,
7,,236X > S,Wolf Fang Fist: Whiskers,,,,,,,30 Total (cancel to 6L/M on frame 22 and H on 17)19 Total from 4S (cancel on frame 13),,,,,,
8,,236X > 4S,Wolf Fang Fist: Tail,,,,,,,14 Total,,,,,,
9,,236H,Neo Wolf Fang Fist,"80×10, 380×2",U1,,All,11,"[1 (4)]*3, 1",22,-5,,,,Launch,
10,,214L,L Wolf Fang Fist: Gale Claws,"50×7, 700",,,All,9,7 (15) 2,19,-4,4- Head,,,,
11,,214M,M Wolf Fang Fist: Gale Claws,"50×7, 800",D1,,All,13,7 (15) 2,19,-7,4- Head,,,,
12,,214H,H Wolf Fang Fist: Gale Claws,"50×7, 900",D1,,All,9,7 (15) 2,19,-7,1- Head,,,,
13,,j.214L,Air L Wolf Fang Fist: Gale Claws,"50×7, 700",,,All,9,7 (15) 2,19,-4,4- Head,,,,
14,,j.214M,Air M Wolf Fang Fist: Gale Claws,"50×7, 800",D1,,All,13,7 (15) 2,19,-7,4- Head,,,,
15,,j.214H,Air H Wolf Fang Fist: Gale Claws,"50×7, 900",D1,,All,9,7 (15) 2,19,-7,1- Head,,,,
16,,236S,Kamehameha,262×5,,,All,26,25,21,-4,,,,Launch,
0,,Assist A,Wolf Fang Fist,"200, 140×3, 210",,,All,19,20,48,+40,,,,,
1,,Assist B,Kamehameha,200×5,,,All,35,25,63,+30,,,15+2×5,Launch,25+2 + WSplat*5
2,,Assist C,Wolf Fang Fist: Pack Attack,"100, 70×4, 400×2",,,All,35 [20],,Total 116-165,+55,,,50 (23 2nd hit),Launch,91
0,,236L+M,Spirit Ball,"1300, 200×0~5",UDV,,All,9+4,,,-23,,,,,
1,,214L+M,Ultimate Wolf Fang Fist,4015,UDV,,All,9+3,,,-15 [+11],1- All,,,,
