,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,400,,,All,6,3,12,-3,,1,11,16,16
1,,5LL,None,700,,,All,9,4,17,-5,,2,15,18,18
2,,5LLL,None,1000,U3+,,Throw,11,1,23,,,,,Launch,34
3,,5M,None,700,,,All,8,4,19,-7,,2,15,18,18
4,,5H,None,850 / 1000,U1,,All,15,4,21,-9,,4,15,Launch,23 / 39
5,,5S,None,500,,,All,14,,Total 36,-4,,,21,24,26
6,,2L,None,400,,,Low,7,2,14,-4,,1,11,16,16
7,,2M,None,700,,,Low,11,3,18,-5,,2,15,Launch,23
8,,2H,None,850 / 1000,U1+,,All,17,6,30,-20,"4-22 Head, Projectiles",4,15,Launch,23 / 39
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,16,19,23
10,,j.L,None,400,,,High,7,6,15,,,1,11,16,16
11,,j.M,None,700,,,High,10,4,15,,,2,15,18,18
12,,j.H,None,850 / 1000,D1+ [D3+],,High,13,4,19,,,3 / 4,15,18,18
13,,j.S,None,400×1~3,,,All,15,,Total 41,,,,21,24,26
14,,j.2H,None,850 / 1000,D1,,High,18,4,15+10L,,,,15,18,18
0,,236L,L Eternal Justice,1100,,,All,15,4,15,-3,,3,15,Launch,18
1,,236M,M Eternal Justice,1200,D1,,All,20,4,16,-4,,3,15,Launch,
2,,236H,H Eternal Justice,1300,D1,,All,16,4,15,-3,,3,15,Launch,
3,,j.236L,Air L Eternal Justice,1100,,,All,15,4,20,,,3,15,Launch,18
4,,j.236M,Air M Eternal Justice,1200,D1,,All,21,4,20,,,3,15,Launch,
5,,j.236H,Air H Eternal Justice,1300,D1,,All,16,4,20,,,3,15,Launch,
6,,214L,L Wall of Light,700×2,,,All,126,,Total 15,+15,,,,,
7,,214M,M Wall of Light,700×2,,,All,219,,Total 38,+15,,,,,
8,,214H,H Wall of Light,"700×2, 700×2",,,All,126,X(94)X,Total 35,+15,,,,,
9,,j.214L,Air L Wall of Light,700×2,,,All,126,,Total 38,+15,,,,,
10,,j.214M,Air M Wall of Light,700×2,,,All,219,,Total 42,+15,,,,,
11,,j.214H,Air H Wall of Light,"700×2, 700×2",,,All,126,X(94)X,Total 38,+15,,,,,
12,,236S,Divine Order,1100,U1+,,All,18~22,3,26,-5,18~22-22~26 Ki Blasts,,,Launch,
13,,236[S],Divine Order,"1100, 900",U1+,,All,25,"3, X",Total 61,-3,25-29 Ki Blasts,,,Launch,
14,,j.236S,Air Divine Order,1100,U1+,,All,18~22,3,26+7L,,18~22-22~26 Ki Blasts,,,Launch,
15,,j.236[S],Air Divine Order,"1100, 900",U1+,,All,25,"3, X",Total 65+7L,,25-29 Ki Blasts,,,Launch,
16,,214S,Heaven's Flash,,,,,,,Total 24+7L,,,,,,
17,,j.214S,Air Heaven's Flash,,,,,,,Total 16+7L,,,,,,
0,,Assist A,Divine Order,800,,,All,34,,,+30,,,,,
1,,Assist B,Eternal Justice,800,,,All,20,,,+29,,,,,
2,,Assist C,Divine Authority,"800, 400",,,All,28 [20],,,+29,Head,,,,
0,,236L+M,Divine Wrath,"700, 400×3, 800",UDV,,All,7+4,,,-19,,,,Launch,
1,,j.236L+M,Air Divine Wrath,"700, 400×3, 800",UDV,,All,7+4,,,-19,,,,Launch,
2,,236H+S,Blades of Judgment,"(100, 350)×18",UDV,,All,9+35,100,Total 42,,,,,Launch,
3,,j.236H+S,Air Blades of Judgment,"(100, 350)×18",UDV,,All,9+35,100,Total 44,,,,,Launch,
4,,214L+M,Lightning of Absolution,"60, 800×6",UDV,,All,13+4~9,,,-67,,,,Launch,
5,,j.214L+M,Air Lightning of Absolution,"60, 800×6",UDV,,All,13+4~9,,,-67,,,,Launch,
