,index,input,name,damage,smash,prorate,guard,startup,active,recovery,onBlock,invuln,level,blockstun,groundHit,airHit
0,,5L,None,500,,,All,7,3,15,-2,,2,,18,
1,,5LL,None,700,,,All,10,4,14,-2,,2,,18,
2,,5LLL,None,1000,U3+,,Throw,15,1,17,,,,,Launch,
3,,5M,None,700,,,All,11,6,26,-11,9-16 Armor,3,,18,
4,,5H,None,850[1150] / 1000[1300],U1,,All,16~30,3,24,-11,9-18~32 Armor,4,,,
5,,5S,None,300×6,,,All,13,,24,-3,,,,,
6,,2L,None,500,,,All,8,3,15,-2,,2,,18,
7,,2M,None,700,,,Low,13,2,19,-11,9-14 Armor,2,,,
8,,2H,None,850 / 1000,U1+,,All,15,3,25,-8,"4-17 Head, 9-17 Armor",4,,,
9,,6M,None,850,,,High,24,6,4+6L,±0,,3,15,18,23
10,,j.L,None,500,,,High,6,4,,,,2,,18,
11,,j.M,None,700,,,High,10,4,,,9-13 Armor,2,,18,
12,,j.H,None,850 / 1000,D1+,,High,12,4,,,9-15 Armor,3,,20,
13,,j.S,None,400×4,,,All,17,,Total 39+5L,,,,,,
14,,j.2H,None,850 / 1000,D1,,All,18,Until L,21,-11 ~ -7,9-20 Armor,3,,20,
0,,236L,L Lariat Express,1000,,,All,13,6,24,-9,4-18 Armor,3,15,,
1,,236M,M Lariat Express,"1100 / 0,1125 [1400 / 0,1440]",U1+,,All,28~46,12,24,-9,4-39~57 Armor,3,15,,
2,,236H,H Lariat Express,"1200 / 0,1350 [1500 / 0,1665]",U1+,,All,19~37,12,24,-9,4-30~48 Armor,3,15,,
3,,214L,L Gigantic Claw,1800,D2,,Throw,17,1,23,,4-17 Armor,,,,
4,,214M,M Gigantic Claw,1650 [1950],U1+ → D2,,Throw,24~43,1,22,,4-24~43 Armor,,,,
5,,214H,H Gigantic Claw,1700 [2000],U1+ → D2,,Throw,24~42,1,22,,4-24~42 Armor,,,,
6,,j.214L,L Gigantic Strike,1800,,,Throw,12,5,22,,4-16 Armor,,,,
7,,j.214M,M Gigantic Strike,1900 [2200],D2,,Throw,16~36,7,22,,4-22~42 Armor,,,,
8,,j.214H,H Gigantic Strike,2000 [2300],D2,,Throw,11~30,7,27,,4-17~36 Armor,,,,
9,,236S,Eraser Blow,"300,1200 / 0,1500 / 0,1350",U1+,,All,20,1(2)X,Total 50,-5 [+19],4-28 Armor,,45 [19],,
10,,214S,Powered Shell,,,,,29,240,Total 40,,29-268 Guard,,,,
11,,j.214S,Air Powered Shell,,,,,29,240,Total 43,,29-268 Guard,,,,
0,,Assist A,Eraser Blow,800,,,All,30,,,+30,Ki Blasts,,30,,
1,,Assist B,Machine Gun Shot,"210, 147×4",,,All,37,,,+53,,,53,,
2,,Assist C,Lariat Express,"800, 400",,,All,35 [20],9,,+29,Armor,,,,
0,,236L+M,L+M Eraser Cannon,"600, 2000",UDV,,All,9+4,,,,"4-24 Armor, 25-End Ki blasts",,,,
1,,236H+S,H+S Eraser Cannon,2000,UDV,,All,13+4,,,,"4-23 Armor, 24-End Ki blasts",,,,
2,,214L+M,L+M Gigantic Meteor,"60*N, 4000",UDV,,All,9+3,,,,1-18 All,,,,
3,,j.214LM,Air L+M Gigantic Meteor,"60*N, 4000",UDV,,All,7+3,,,,1-16 All,,,,
4,,214H+S,H+S Gigantic Meteor,"60*N, 4000",UDV,,All,9+15,,Total 68,,1-11 All,,,,
5,,j.214H+S,Air H+S Gigantic Meteor,"60*N, 4000",UDV,,All,17+15,,Total 76,,1-19 All,,,,
